387
1896.29 1372.49 -63.875,     1 109 238 260 261 262 384,       stand,   0.0 0.0 0.0,             ,
3449.58 583.113 -45.6243,    43 300 302,                      stand,   9.79002 -61.4633 0.0,    ,
3200.89 604.2 -54.6585,      20 42 43 302,                    stand,   9.09788 34.3705 0.0,     ,
3496.98 -138.114 -19.9118,   306,                             crouch,  11.1743 158.686 0.0,     ,
3314.08 -68.5472 -50.52,     40 305 307,                      stand,   7.37305 73.2181 0.0,     ,
3390.1 179.066 -64.3427,     41 296 306,                      stand,   7.54334 0.356798 0.0,    ,
3016.58 -614.108 -60.2678,   40 44 309,                       stand,   18.4253 -101.86 0.0,     ,
2978.94 -921.894 -48.9759,   44 308 310 313,                  stand,   10.3064 -120.839 0.0,    ,
2785.2 -1192.71 -28.5045,    44 309 311 313,                  stand,   5.64819 -98.9157 0.0,    ,
2905.86 -1454.15 -5.68631,   310 312,                         stand,   11.3446 -46.0769 0.0,    ,
3151.36 -1667.52 -27.0813,   54 311,                          stand,   10.4822 -51.4328 0.0,    ,
2611.06 -1100.02 -26.9254,   44 45 57 309 310,                stand,   7.20276 144.02 0.0,      ,
2506.79 -1654.96 -2.61583,   45 46 315 316 317,               stand,   11.8609 -35.195 0.0,     ,
2725.9 -1817.04 -11.7326,    55 314 319,                      stand,   11.1743 58.7381 0.0,     ,
2635.03 -1545.43 14.7383,    45 55 314 317,                   stand,   11.5149 135.401 0.0,     ,
2318.81 -1555.35 -39.9324,   45 46 314 316 318,               stand,   9.61973 -125.157 0.0,    ,
2293.05 -1969.57 -42.4956,   46 317 319 320,                  stand,   10.1361 -28.4603 0.0,    ,
2467.72 -2104.72 -42.8532,   315 318,                         stand,   9.44395 43.3683 0.0,     ,
2149.58 -2100.01 -36.7275,   46 47 318 321,                   stand,   2.19299 -126.87 0.0,     ,
1919.68 -2443.61 7.32396,    51 320 322,                      stand,   7.37305 -147.42 0.0,     ,
1585.86 -2360.26 -26.9083,   47 51 63 321 325,                stand,   0.12207 -52.9763 0.0,    ,
2078.04 -2710.61 10.95,      52 324,                          stand,   11.6907 -154.336 0.0,    ,
1838.57 -2789.89 45.8098,    51 323 325,                      stand,   11.5149 129.342 0.0,     ,
1600.28 -2668.94 22.2069,    51 322 324,                      stand,   13.2452 52.5089 0.0,     ,
2698.21 -800.762 293.084,    50,                              prone,   17.2168 55.8158 0.0,     ,
1400.21 -1716.29 -47.4596,   328 329 333,                     stand,   10.9985 -122.19 0.0,     ,
1238.64 -1888.53 -48.1096,   63 65 75 327,                    stand,   10.4822 -133.583 0.0,    ,
1651.19 -1870.76 -35.1614,   63 64 327,                       stand,   6.68091 28.1961 0.0,     ,
993.999 -2331.14 -53.6903,   75,                              crouch,  5.30212 82.2434 0.0,     ,
810.004 -2219.74 -60.9311,   75,                              crouch,  2.36328 29.0641 0.0,     ,
1447.63 -2393.97 -10.6604,   63,                              crouch,  3.74756 114.692 0.0,     ,
1366.16 -1610.86 -51.5479,   327,                             crouch,  -0.570068 -79.3875 0.0,  ,
999.072 -1898.43 -24.586,    65 74,                           crouch,  8.23547 139.916 0.0,     ,
808.762 -1051.95 -63.875,    126 339,                         stand,   14.9701 -36.2002 0.0,    ,
1051.58 -1227.56 -59.875,    126 337 345,                     stand,   16.1786 -17.7212 0.0,    ,
1256.09 -1219.23 -135.875,   336 338 344 345 348 349,         stand,   4.78577 120.756 0.0,     ,
1040.93 -1032.05 -135.583,   337 339,                         stand,   -0.223999 144.063 0.0,   ,
808.73 -859.246 -135.875,    335 338 340 346 347 350,         stand,   -0.394287 143.717 0.0,   ,
1002.72 -721.342 -67.875,    125 339 350,                     stand,   8.23547 0.582018 0.0,    ,
1229.23 -842.252 7.625,      342,                             crouch,  6.51062 -128.749 0.0,    ,
1305.15 -771.309 -67.875,    125 341 343 352,                 stand,   29.6478 123.854 0.0,     ,
1390.05 -897.696 -67.875,    342 344 351 352,                 stand,   6.51062 -68.4835 0.0,    ,
1408.21 -1005.12 -67.875,    337 343 349,                     stand,   15.3161 -133.753 0.0,    ,
1204.5 -1382.55 -60.735,     336 337 348,                     crouch,  -0.570068 93.812 0.0,    ,
619.993 -932.413 -60.7351,   339 347,                         crouch,  7.54334 21.6538 0.0,     ,
669.056 -876.8 -127.875,     339 346 350,                     crouch,  -1.08643 5.93236 0.0,    ,
1251.85 -1319.97 -127.875,   337 345 349,                     crouch,  -0.570068 111.78 0.0,    ,
1361.52 -1168.32 -127.875,   337 344 348,                     crouch,  -1.77856 -171.211 0.0,   ,
778.845 -727.381 -127.875,   339 340 347,                     crouch,  1.15479 -73.312 0.0,     ,
1494.69 -721.495 -67.875,    122 343 352 354,                 stand,   21.0126 -142.207 0.0,    ,
1383.9 -713.3 -67.875,       125 342 343 351 353,             stand,   19.458 109.528 0.0,      ,
1360.38 -599.668 -67.875,    123 125 352,                     stand,   20.1501 86.215 0.0,      ,
1581.69 -459.143 -31.875,    122 123 351,                     crouch,  4.60999 -130.644 0.0,    ,
2158.97 -602.043 -63.875,    121 356,                         crouch,  -0.394287 174.979 0.0,   ,
2048.38 -744.998 -63.875,    121 355,                         crouch,  2.02271 109.193 0.0,     ,
2179.03 -311.027 -63.875,    119 358 359 363,                 stand,   12.3828 52.5693 0.0,     ,
2304.99 -119.824 -63.875,    120 357 365,                     stand,   10.1361 31.5085 0.0,     ,
2085.07 -442.296 -47.875,    60 119 121 357,                  stand,   9.61973 26.669 0.0,      ,
2353.04 -776.058 -45.875,    57 59 361,                       stand,   6.68091 153.248 0.0,     ,
2544.57 -529.212 -45.875,    60 62 360 364,                   stand,   7.20276 51.8937 0.0,     ,
2322.46 -373.859 -17.875,    363 364,                         stand,   20.1501 148.744 0.0,     ,
2246.86 -324.166 -23.875,    357 362,                         stand,   45.188 147.359 0.0,      ,
2417.13 -461.677 -17.875,    60 61 361 362,                   stand,   10.1361 23.3896 0.0,     ,
2467.26 -80.4492 -50.8817,   358,                             crouch,  3.2312 -174.309 0.0,     ,
2213.24 121.055 -63.875,     120,                             crouch,  2.19299 -125.964 0.0,    ,
1830.37 407.013 -63.875,     116,                             crouch,  -0.570068 -136.84 0.0,   ,
2212.24 372.178 -63.875,     26 27 28,                        stand,   4.09363 43.0826 0.0,     ,
2626.23 530.494 -51.875,     21 22,                           stand,   1.84692 -39.4412 0.0,    ,
2357.93 1232.96 -38.8593,    272,                             crouch,  1.67664 -11.6348 0.0,    ,
667.46 1105.16 24.125,       372,                             stand,   17.2168 -158.72 0.0,     ,
770.916 1003.51 24.125,      113 114 234 371,                 stand,   14.9701 -92.9281 0.0,    ,
242.96 281.531 -63.875,      96 197,                          crouch,  3.74756 -175.696 0.0,    ,
90.0308 -47.1886 -61.875,    95,                              crouch,  0.46814 20.0855 0.0,     ,
890.054 244.899 -62.875,     104 106,                         crouch,  4.26392 136.288 0.0,     ,
697.734 631.427 -63.6457,    105 106,                         crouch,  2.88513 -72.2766 0.0,    ,
1120.39 302.549 -68.8729,    106 107 115 117 378,             stand,   5.12634 -50.6939 0.0,    ,
1180.45 120.281 -62.875,     117 377,                         crouch,  3.91785 96.5833 0.0,     ,
591.031 -1705.07 -63.875,    79 136 137 380 382,              stand,   23.3075 122.773 0.0,     ,
573.133 -1540.21 -63.875,    379 381,                         stand,   21.5826 50.5982 0.0,     ,
684.247 -1541.26 -63.9828,   76 146 147 380 382,              stand,   16.4026 -20.5437 0.0,    ,
703.695 -1695.7 -65.7267,    137 147 379 381,                 stand,   19.5117 -89.2632 0.0,    ,
1555.62 1610.42 -63.875,     18 245 262 384 385,              stand,   17.6111 -73.8988 0.0,    ,
1616.19 1455.9 -60.5225,     0 238 240 262 383,               stand,   20.8905 150.903 0.0,     ,
1418.17 1609.0 -61.6436,     240 244 245 383 386,             stand,   18.9954 135.534 0.0,     ,
1312.56 1560.59 -63.875,     243 244 385,                     stand,   12.2607 168.844 0.0,     ,
