351
-263.7 -4410.9 0.157547,      253,                          stand,  0.0 0.0 0.0,         ,
-1514.2 -3272.47 67.0075,     111 116 306,                  stand,  0.0 0.0 0.0,         ,
-987.534 -1800.9 46.023,      30 294,                       stand,  0.0 0.0 0.0,         ,
-823.065 -1626.09 44.4673,    294 311,                      stand,  0.0 0.0 0.0,         ,
-823.006 -1761.61 38.125,     310 331,                      stand,  0.0 0.0 0.0,         ,
-967.842 -1811.87 -204.424,   291 313,                      stand,  0.0 0.0 0.0,         ,
-747.015 -1809.25 -210.368,   291 312 314,                  stand,  0.0 0.0 0.0,         ,
-415.977 -1751.54 -230.875,   313 315,                      stand,  0.0 0.0 0.0,         ,
-115.354 -1668.25 -230.875,   314 316,                      stand,  0.0 0.0 0.0,         ,
229.598 -1574.82 -230.875,    315 317,                      stand,  0.0 0.0 0.0,         ,
537.15 -1480.9 -230.875,      316 318,                      stand,  0.0 0.0 0.0,         ,
853.889 -1399.17 -230.875,    317 319,                      stand,  0.0 0.0 0.0,         ,
1172.75 -1326.9 -230.875,     318 320,                      stand,  0.0 0.0 0.0,         ,
1506.08 -1275.86 -230.875,    319 321,                      stand,  0.0 0.0 0.0,         ,
1820.79 -1233.25 -230.875,    290 320 322,                  stand,  0.0 0.0 0.0,         ,
2135.28 -1237.65 -230.989,    290 321 323,                  stand,  0.0 0.0 0.0,         ,
2151.93 -1241.92 12.1297,     322 324,                      stand,  0.0 0.0 0.0,         ,
2206.38 -1255.23 0.239687,    323 325 329,                  stand,  0.0 0.0 0.0,         ,
2197.62 -1125.77 0.240117,    67 324,                       stand,  0.0 0.0 0.0,         ,
2005.2 -1125.31 0.240116,     67 293 330,                   stand,  0.0 0.0 0.0,         ,
2075.77 -1373.75 0.240117,    293 328 329,                  stand,  0.0 0.0 0.0,         ,
2196.18 -1422.98 0.240116,    327 329,                      stand,  0.0 0.0 0.0,         ,
2174.14 -1360.71 0.240116,    324 327 328,                  stand,  0.0 0.0 0.0,         ,
1901.85 -1125.92 0.240117,    293 326,                      stand,  0.0 0.0 0.0,         ,
-687.039 -1769.16 27.4567,    194 279 281 311,              stand,  0.0 0.0 0.0,         ,
-486.062 -1964.09 5.53962,    33 194 227,                   stand,  0.0 0.0 0.0,         ,
-821.642 -2526.49 60.2586,    8 334,                        stand,  0.0 0.0 0.0,         ,
-824.279 -2419.8 57.437,      8 333,                        stand,  0.0 0.0 0.0,         ,
-1126.47 -3162.09 77.125,     9 200,                        stand,  0.0 0.0 0.0,         ,
-884.343 -2845.62 77.125,     196 200,                      stand,  0.0 0.0 0.0,         ,
-899.079 -4181.17 -4.875,     115 338 339,                  stand,  0.0 0.0 0.0,         ,
-1052.71 -3814.36 -0.875003,  117 295 337,                  stand,  0.0 0.0 0.0,         ,
-652.149 -4121.77 -4.875,     115 255 337,                  stand,  0.0 0.0 0.0,         ,
314.313 -4881.09 -0.875001,   1 15 18 20 241 242,           stand,  0.0 0.0 0.0,         ,
2491.68 -1918.76 0.217759,    76 78,                        stand,  0.0 0.0 0.0,         ,
2457.55 -1524.34 0.240117,    74 76,                        stand,  0.0 0.0 0.0,         ,
1464.42 -182.263 0.722747,    24 27 177 187 345,            stand,  0.0 0.0 0.0,         ,
2447.34 -588.716 0.431087,    69 71 73,                     stand,  0.0 0.0 0.0,         ,
1166.86 -143.242 9.28159,     176 177 343 346,              stand,  0.0 0.0 0.0,         ,
894.728 -155.809 17.8023,     175 269 345,                  stand,  0.0 0.0 0.0,         ,
508.169 -245.668 18.7383,     6 268 269,                    stand,  0.0 0.0 0.0,         ,
2447.03 -3886.47 3.9968,      132 136,                      stand,  0.0 0.0 0.0,         ,
2444.09 -4057.01 2.625,       125 133 350,                  stand,  0.0 0.0 0.0,         ,
2405.22 -4536.58 -0.875658,   134 135 349,                  stand,  0.0 0.0 0.0,         ,
