470
176.544 -839.407 -40.8663,   50 53,                stand,  0.0 0.0 0.0,             ,
-692.139 2435.17 167.395,    19 109,               stand,  0.0 0.0 0.0,             ,
397.257 2185.75 164.038,     131 341,              stand,  0.0 0.0 0.0,             ,
654.29 2159.07 186.676,      294 340,              stand,  0.0 0.0 0.0,             ,
784.233 3001.47 364.195,     121 343,              stand,  0.0 0.0 0.0,             ,
860.917 3109.52 379.808,     122 342,              stand,  0.0 0.0 0.0,             ,
1084.18 4091.14 291.682,     345 348 349,          stand,  0.0 0.0 0.0,             ,
1076.1 3677.53 291.969,      124 344 346,          stand,  0.0 0.0 0.0,             ,
1178.74 3203.32 303.259,     23 125 345,           stand,  0.0 0.0 0.0,             ,
1043.98 2922.6 281.176,      24 125 127,           stand,  0.0 0.0 0.0,             ,
997.532 4268.46 319.056,     344 349,              stand,  0.0 0.0 0.0,             ,
1175.73 4261.09 303.567,     344 348,              stand,  0.0 0.0 0.0,             ,
99.9212 2587.86 255.058,     351 354,              stand,  0.0 0.0 0.0,             ,
407.625 2591.31 237.127,     350 352,              stand,  0.0 0.0 0.0,             ,
525.982 2605.48 224.404,     351 353,              stand,  0.0 0.0 0.0,             ,
643.615 2503.61 185.639,     129 352,              stand,  0.0 0.0 0.0,             ,
-64.6496 2570.88 170.475,    350 355,              stand,  0.0 0.0 0.0,             ,
-480.656 2536.74 172.53,     110 354,              stand,  0.0 0.0 0.0,             ,
24.2399 472.932 119.125,     195 357 381,          stand,  0.0 0.0 0.0,             ,
125.503 381.827 119.125,     356 358,              stand,  0.0 0.0 0.0,             ,
114.346 81.695 119.125,      191 357,              stand,  0.0 0.0 0.0,             ,
2.62688 1175.15 113.32,      199 360,              stand,  0.0 0.0 0.0,             ,
-4.08145 989.904 111.505,    198 287 359 381,      stand,  0.0 0.0 0.0,             ,
-881.814 -2248.4 57.9926,    12 329,               stand,  0.0 0.0 0.0,             ,
-978.521 -1662.62 56.7219,   67 363,               stand,  0.0 0.0 0.0,             ,
-802.46 -1347.16 22.2889,    10 250 362,           stand,  0.0 0.0 0.0,             ,
-435.053 -866.12 -12.3581,   184 365,              stand,  0.0 0.0 0.0,             ,
-383.615 -1052.3 22.6595,    251 364,              stand,  0.0 0.0 0.0,             ,
-720.134 -364.975 19.3154,   185 187,              stand,  0.0 0.0 0.0,             ,
-341.392 -626.875 88.9595,   188 368,              climb,  -14.4635 -87.1985 0.0,   ,
-352.349 -641.444 239.125,   277 367,              climb,  6.92566 -101.254 0.0,    ,
266.2 -443.68 -33.1781,      48 297,               stand,  0.0 0.0 0.0,             ,
205.812 -181.133 23.125,     296 297,              stand,  0.0 0.0 0.0,             ,
694.443 -533.17 11.449,      46 47,                stand,  0.0 0.0 0.0,             ,
819.906 132.996 24.531,      41 44,                stand,  0.0 0.0 0.0,             ,
836.694 1577.3 119.125,      4 209 374,            stand,  0.0 0.0 0.0,             ,
901.363 1587.76 94.6025,     205 373,              stand,  0.0 0.0 0.0,             ,
1346.39 1834.58 48.625,      208 376,              stand,  0.0 0.0 0.0,             ,
1279.81 1831.3 101.125,      375 377,              stand,  0.0 0.0 0.0,             ,
1194.16 1833.86 101.125,     32 376,               stand,  0.0 0.0 0.0,             ,
436.595 1308.25 120.484,     222 223,              stand,  0.0 0.0 0.0,             ,
326.739 1314.7 191.125,      223 224,              stand,  0.0 0.0 0.0,             ,
630.885 1223.0 119.125,      213 222,              stand,  0.0 0.0 0.0,             ,
14.2996 661.569 114.69,      356 360,              stand,  0.0 0.0 0.0,             ,
-314.242 513.731 103.125,    244 383,              stand,  0.0 0.0 0.0,             ,
-304.617 427.203 63.125,     382 384,              stand,  0.0 0.0 0.0,             ,
-310.867 367.406 63.125,     383 385,              stand,  0.0 0.0 0.0,             ,
-313.641 338.346 47.125,     384 386 389,          stand,  0.0 0.0 0.0,             ,
-317.969 225.125 47.125,     243 385 389,          stand,  0.0 0.0 0.0,             ,
-308.614 -6.89629 63.125,    243 388,              stand,  0.0 0.0 0.0,             ,
-314.346 -92.5622 103.125,   242 387,              stand,  0.0 0.0 0.0,             ,
-265.126 248.494 47.125,     385 386 390,          climb,  -3.48267 -1.93909 0.0,   ,
-242.059 247.815 111.127,    193 389,              climb,  -4.00452 -3.76831 0.0,   ,
394.964 1412.41 119.125,     396 398,              stand,  0.0 0.0 0.0,             ,
-539.418 2090.56 153.125,    107 108,              stand,  0.0 0.0 0.0,             ,
-387.588 2306.23 164.094,    109 134,              stand,  0.0 0.0 0.0,             ,
-446.762 1937.19 135.125,    107 324,              stand,  0.0 0.0 0.0,             ,
-292.458 1901.2 148.77,      136 324,              stand,  0.0 0.0 0.0,             ,
337.362 1567.9 119.125,      9 203 391,            stand,  0.0 0.0 0.0,             ,
54.3407 1451.79 118.125,     200 202 398,          stand,  0.0 0.0 0.0,             ,
59.7803 1394.3 119.125,      199 391 397,          stand,  0.0 0.0 0.0,             ,
-76.5489 1726.56 117.715,    202 323,              stand,  0.0 0.0 0.0,             ,
-343.02 1107.13 172.462,     247 401,              climb,  -6.69617 -80.766 0.0,    ,
-342.361 1084.12 242.127,    400 402,              climb,  -1.35132 -78.5522 0.0,   ,
-320.597 1007.13 242.125,    401 403,              climb,  -0.181274 -91.7139 0.0,  ,
-318.112 976.292 291.125,    402 404,              climb,  -0.571289 -92.1039 0.0,  ,
-308.82 961.875 263.125,     239 403,              climb,  29.0851 -90.0165 0.0,    ,
-1590.29 643.149 91.125,     16 406,               stand,  0.0 0.0 0.0,             ,
-1755.21 688.011 95.125,     405 407,              stand,  0.0 0.0 0.0,             ,
-1953.29 694.263 95.125,     406 408,              stand,  0.0 0.0 0.0,             ,
-1949.86 498.875 95.125,     407 464,              stand,  0.0 0.0 0.0,             ,
-1962.06 188.332 63.125,     410 465,              stand,  0.0 0.0 0.0,             ,
-2158.92 203.333 63.125,     409 411,              stand,  0.0 0.0 0.0,             ,
-2329.53 226.635 63.125,     410 412 460,          stand,  0.0 0.0 0.0,             ,
-2418.8 352.161 63.125,      411 413,              stand,  0.0 0.0 0.0,             ,
-2424.15 457.117 63.125,     412 414,              stand,  0.0 0.0 0.0,             ,
-2424.81 529.053 95.125,     413 415,              stand,  0.0 0.0 0.0,             ,
-2424.43 593.709 95.125,     414 416,              stand,  0.0 0.0 0.0,             ,
-2424.35 762.99 95.125,      415 417,              stand,  0.0 0.0 0.0,             ,
-2616.4 810.006 95.125,      416 418,              stand,  0.0 0.0 0.0,             ,
-2785.33 840.137 95.125,     417 419,              stand,  0.0 0.0 0.0,             ,
-2954.54 852.181 95.125,     418 420,              stand,  0.0 0.0 0.0,             ,
-3127.85 850.044 95.125,     419 421,              stand,  0.0 0.0 0.0,             ,
-3296.95 847.118 95.125,     420 422,              stand,  0.0 0.0 0.0,             ,
-3468.53 844.131 95.125,     421 423,              stand,  0.0 0.0 0.0,             ,
-3639.35 841.194 95.125,     422 424 456,          stand,  0.0 0.0 0.0,             ,
-3810.36 838.265 95.125,     423 425,              stand,  0.0 0.0 0.0,             ,
-3982.14 834.845 95.125,     424 426,              stand,  0.0 0.0 0.0,             ,
-4117.97 748.108 95.125,     425 455,              stand,  0.0 0.0 0.0,             ,
-4233.79 417.057 95.125,     428 455,              stand,  0.0 0.0 0.0,             ,
-4230.09 245.419 95.125,     427 429,              stand,  0.0 0.0 0.0,             ,
-4231.25 73.9436 95.125,     428 430,              stand,  0.0 0.0 0.0,             ,
-4232.54 -97.5274 95.125,    429 431,              stand,  0.0 0.0 0.0,             ,
-4233.76 -263.662 95.125,    430 432,              stand,  0.0 0.0 0.0,             ,
-3971.94 -222.014 95.125,    431 433,              stand,  0.0 0.0 0.0,             ,
-3800.79 -213.141 95.125,    432 434,              stand,  0.0 0.0 0.0,             ,
-3629.79 -212.871 95.125,    433 435 459,          stand,  0.0 0.0 0.0,             ,
-3526.44 -215.011 95.125,    434 436,              stand,  0.0 0.0 0.0,             ,
-3422.15 -217.393 95.125,    435 437,              stand,  0.0 0.0 0.0,             ,
-3387.11 -266.804 95.125,    436 438,              stand,  0.0 0.0 0.0,             ,
-3202.63 -325.298 95.125,    437 439,              stand,  0.0 0.0 0.0,             ,
-3032.58 -323.359 95.125,    438 440,              stand,  0.0 0.0 0.0,             ,
-2861.21 -321.4 95.125,      439 441,              stand,  0.0 0.0 0.0,             ,
-2690.52 -319.447 95.125,    440 442 463,          stand,  0.0 0.0 0.0,             ,
-2637.74 -420.176 95.125,    441 443,              stand,  0.0 0.0 0.0,             ,
-2637.04 -524.695 95.125,    442 444,              stand,  0.0 0.0 0.0,             ,
-2636.35 -629.215 95.125,    443 445,              stand,  0.0 0.0 0.0,             ,
-2569.92 -723.457 95.125,    444 454,              stand,  0.0 0.0 0.0,             ,
-2332.27 -624.502 95.125,    447 454,              stand,  0.0 0.0 0.0,             ,
-2270.22 -625.544 95.125,    446 448,              stand,  0.0 0.0 0.0,             ,
-2170.39 -632.45 95.125,     447 449,              stand,  0.0 0.0 0.0,             ,
-2105.07 -643.475 95.125,    448 450,              stand,  0.0 0.0 0.0,             ,
-2086.84 -585.312 95.125,    449 451,              stand,  0.0 0.0 0.0,             ,
-1980.9 -536.987 95.125,     450 452,              stand,  0.0 0.0 0.0,             ,
-1895.04 -538.765 95.125,    451 453,              stand,  0.0 0.0 0.0,             ,
-1832.47 -548.219 95.125,    82 452,               stand,  0.0 0.0 0.0,             ,
-2346.38 -735.267 95.125,    445 446,              stand,  0.0 0.0 0.0,             ,
-4243.88 587.149 95.125,     426 427,              stand,  0.0 0.0 0.0,             ,
-3651.44 536.37 95.125,      423 457,              stand,  0.0 0.0 0.0,             ,
-3652.02 437.433 63.125,     456 458,              stand,  0.0 0.0 0.0,             ,
-3651.8 -36.4542 63.125,     457 459,              stand,  0.0 0.0 0.0,             ,
-3651.29 -99.9855 95.125,    434 458,              stand,  0.0 0.0 0.0,             ,
-2396.7 125.67 63.125,       411 461,              stand,  0.0 0.0 0.0,             ,
-2410.0 -70.0439 63.125,     460 462,              stand,  0.0 0.0 0.0,             ,
-2411.76 -104.54 95.125,     461 463,              stand,  0.0 0.0 0.0,             ,
-2477.77 -321.702 95.125,    441 462,              stand,  0.0 0.0 0.0,             ,
-1994.72 389.759 95.125,     408 465,              stand,  0.0 0.0 0.0,             ,
-1989.09 309.499 63.125,     409 464,              stand,  0.0 0.0 0.0,             ,
-69.2557 -1423.99 231.931,   286 467,              stand,  0.0 0.0 0.0,             ,
78.2558 -1424.4 141.591,     280 466,              stand,  0.0 0.0 0.0,             ,
40.429 -1369.66 239.125,     270 271,              stand,  0.0 0.0 0.0,             ,
-143.362 -1089.81 239.125,   270 275,              stand,  0.0 0.0 0.0,             ,
