447
-3572.3 1041.86 -280.157,    1 6 234,                         stand,   0.0 0.0 0.0,            ,
1196.54 1951.54 154.639,     302,                             crouch,  6.95313 -135.198 0.0,   ,
1425.99 1981.52 146.006,     301 302,                         crouch,  1.427 178.187 0.0,      ,
958.277 1568.65 149.708,     22 23 213 214,                   stand,   12.6495 -43.5061 0.0,   ,
666.503 1234.28 160.092,     124 308,                         crouch,  4.53613 67.8458 0.0,    ,
723.747 1348.86 161.544,     123 214 307 310,                 stand,   28.0194 -143.504 0.0,   ,
811.388 1104.95 190.125,     124 125 310,                     stand,   26.9812 -33.1515 0.0,   ,
865.945 1279.35 156.749,     23 308 309 311,                  stand,   23.5315 79.2551 0.0,    ,
1100.86 1155.72 156.722,     159 310,                         stand,   24.3939 -80.7992 0.0,   ,
906.454 1128.48 75.2488,     155 313,                         crouch,  7.12891 -61.4633 0.0,   ,
806.031 785.067 46.6231,     156 312,                         crouch,  2.29492 35.0571 0.0,    ,
938.233 626.22 49.5495,      158 159 315,                     stand,   12.309 -89.9563 0.0,    ,
942.617 341.482 50.4042,     99 314,                          stand,   11.441 -99.108 0.0,     ,
1204.03 102.323 56.1282,     98 99 317 325,                   stand,   8.50769 -101.701 0.0,   ,
1084.34 -393.692 58.7582,    97 98 99 316 318,                stand,   8.68347 -103.601 0.0,   ,
1129.13 -496.657 80.563,     317,                             crouch,  10.7544 123.964 0.0,    ,
868.816 80.2725 123.743,     98 99 160,                       crouch,  2.6355 -142.932 0.0,    ,
1552.3 -822.512 122.826,     26 27 97 321 322,                stand,   14.0338 47.1915 0.0,    ,
1828.84 -889.657 126.949,    320 322,                         crouch,  9.19983 135.241 0.0,    ,
1901.27 -517.708 77.2621,    26 320 321 323,                  crouch,  4.8822 -176.067 0.0,    ,
1918.24 -27.8475 59.8842,    25 322 324,                      stand,   13.0011 101.574 0.0,    ,
1991.04 443.036 100.906,     127 323,                         crouch,  8.16711 -151.881 0.0,   ,
1366.26 -38.4534 64.0294,    25 98 316,                       stand,   18.3514 163.57 0.0,     ,
340.609 -108.006 105.724,    87 88 118,                       stand,   12.8253 -23.8768 0.0,   ,
-487.797 -244.826 101.367,   86 328 332,                      crouch,  -2.02271 33.7794 0.0,   ,
-140.538 -288.038 109.139,   86 87 327 329,                   stand,   15.9344 -20.092 0.0,    ,
228.475 -372.134 105.541,    86 87 88 89 328,                 stand,   16.1047 -12.3247 0.0,   ,
-568.871 122.499 65.2933,    117 174 331 332 333,             stand,   20.4224 -107.45 0.0,    ,
-643.498 147.514 62.7781,    117 174 330 334,                 stand,   20.4224 -107.45 0.0,    ,
-359.739 65.0383 70.1936,    84 86 327 330,                   stand,   14.3799 -82.7635 0.0,   ,
-610.512 -51.0623 43.125,    92 330 334,                      stand,   2.98157 73.7861 0.0,    ,
-689.116 -28.4515 43.625,    92 331 333 336,                  stand,   2.98157 73.7861 0.0,    ,
-876.53 -286.835 43.125,     92 336,                          crouch,  5.74463 -35.3245 0.0,   ,
-858.407 -226.815 43.125,    334 335,                         crouch,  3.32764 36.5205 0.0,    ,
-617.483 -542.027 43.125,    93,                              crouch,  4.70642 111.629 0.0,    ,
-959.24 -537.306 43.125,     31,                              prone,   13.1714 124.406 0.0,    ,
-794.009 -528.686 43.125,    31,                              crouch,  2.98157 -58.9451 0.0,   ,
-504.055 -298.675 75.125,    91,                              crouch,  8.33191 -65.1469 0.0,   ,
-554.06 -561.176 75.125,     91,                              crouch,  4.70642 41.5523 0.0,    ,
110.712 -506.862 75.625,     90,                              prone,   -1.50635 -46.611 0.0,   ,
-921.898 -446.428 -76.875,   94,                              crouch,  3.32764 26.7556 0.0,    ,
-743.948 -366.166 -76.875,   94 95 345 348 349,               stand,   11.441 72.8598 0.0,     ,
-696.533 -212.833 -76.875,   95 344 346 349 350,              stand,   12.1332 75.6228 0.0,    ,
-807.069 -56.7695 -76.875,   95 345 350,                      crouch,  4.70642 -68.8858 0.0,   ,
-676.69 -502.865 -76.875,    348,                             crouch,  3.15735 121.892 0.0,    ,
-748.933 -469.834 -76.875,   344 347,                         stand,   16.1047 74.2331 0.0,    ,
-624.948 -331.29 -44.875,    344 345 350,                     crouch,  3.84399 163.338 0.0,    ,
-575.125 -160.31 -76.875,    345 346 349,                     crouch,  2.29492 -163.16 0.0,    ,
-855.307 27.4034 -59.2897,   33 352 353,                      stand,   14.8962 -125.35 0.0,    ,
-1070.83 141.155 -87.88,     33 34 351 353 354 356 357 358,   stand,   13.6877 -84.5853 0.0,   ,
-936.453 -137.92 -68.3003,   33 95 351 352 359,               stand,   19.7302 -117.39 0.0,    ,
-1451.12 478.814 -173.959,   352 355 356,                     prone,   10.0623 113.795 0.0,    ,
-1310.83 518.789 -143.248,   34 354,                          prone,   10.0623 117.074 0.0,    ,
-1439.79 250.714 -174.263,   34 352 354 357,                  stand,   9.37012 -106.355 0.0,   ,
-1493.98 -57.6314 -106.81,   33 352 356 358,                  stand,   2.6355 -41.6013 0.0,    ,
-1268.9 -269.279 -70.4319,   33 352 357 359,                  stand,   14.0338 -44.8917 0.0,   ,
-1060.52 -328.204 -66.876,   32 33 353 358,                   stand,   21.1145 -150.036 0.0,   ,
-1152.85 847.449 -267.781,   35 194 361,                      stand,   25.6024 118.849 0.0,    ,
-1154.92 1081.67 -341.167,   116 193 194 195 360,             stand,   10.7544 49.6237 0.0,    ,
-1332.95 1443.03 -390.366,   195 363,                         stand,   27.8491 -31.5213 0.0,   ,
-1536.59 1499.35 -265.222,   193 202 206 362,                 stand,   22.1527 40.126 0.0,     ,
-2240.45 235.697 -306.875,   49 365,                          crouch,  4.19556 143.018 0.0,    ,
-2446.73 175.963 -306.875,   49 364,                          crouch,  5.22827 56.6824 0.0,    ,
-2521.32 1205.6 -265.302,    201,                             crouch,  8.3374 -99.0433 0.0,    ,
-2697.46 1086.03 -306.875,   41 42 201,                       stand,   26.9867 -165.868 0.0,   ,
-2973.85 1020.65 -310.875,   5 6 370 371,                     stand,   13.3472 -82.9703 0.0,   ,
-2583.43 269.637 -306.875,   4,                               crouch,  3.50342 159.806 0.0,    ,
-3054.69 682.784 -306.875,   5 368,                           crouch,  1.94885 15.6265 0.0,    ,
-3149.37 1123.61 -271.482,   368,                             crouch,  4.70642 -35.6687 0.0,   ,
-2524.68 1216.82 -170.875,   43,                              crouch,  4.70642 16.6537 0.0,    ,
-2494.63 1105.69 -171.875,   44 200,                          crouch,  5.74463 17.0053 0.0,    ,
-2788.65 1123.03 -171.875,   44,                              crouch,  4.70642 -10.2628 0.0,   ,
-2391.22 765.377 -166.875,   376 377,                         prone,   5.05249 16.857 0.0,     ,
-2426.05 859.421 -171.875,   375 377,                         crouch,  8.33191 13.0557 0.0,    ,
-2534.69 818.111 -171.875,   44 45 375 376 378,               stand,   23.1854 107.675 0.0,    ,
-2594.13 573.215 -171.875,   377,                             crouch,  5.39856 51.5683 0.0,    ,
-2244.89 248.773 -170.875,   380,                             crouch,  2.98157 16.6867 0.0,    ,
-2280.77 292.787 -171.875,   379 381,                         stand,   34.754 -162.017 0.0,    ,
-2369.18 263.693 -171.875,   45 46 380 383,                   stand,   43.2135 -126.965 0.0,   ,
-2509.16 157.883 -228.875,   47,                              crouch,  14.875 62.1096 0.0,     ,
-2532.8 423.106 -162.742,    45 381,                          crouch,  18.6763 -167.345 0.0,   ,
-2579.59 198.852 -306.875,   40,                              crouch,  2.27371 -114.012 0.0,   ,
-3043.61 507.002 -307.056,   1,                               crouch,  3.82828 150.67 0.0,     ,
-3387.07 1297.27 -302.268,   6 234,                           stand,   21.2691 19.6255 0.0,    ,
-2904.07 1381.94 -307.985,   6 51 52,                         stand,   9.3544 -144.4 0.0,      ,
-3227.73 1863.44 -307.395,   52 54 389 390,                   stand,   11.2495 107.0 0.0,      ,
-3365.22 1726.06 -302.831,   52 388 390,                      stand,   15.0508 78.5177 0.0,    ,
-3625.2 2097.29 -339.875,    7 8 54 388 389,                  stand,   13.8423 172.462 0.0,    ,
-3369.05 2789.56 -309.9,     393 444,                         crouch,  5.03677 33.2925 0.0,    ,
-3415.73 3030.84 -310.784,   393 444,                         crouch,  3.65799 -19.3704 0.0,   ,
-3309.07 2899.23 -312.903,   59 391 392 444,                  stand,   15.2211 24.6518 0.0,    ,
-2588.35 1956.85 -294.757,   53 185 395,                      stand,   8.1459 -12.9764 0.0,    ,
-2205.66 1793.87 -277.872,   151 242 394,                     stand,   9.87076 -12.46 0.0,     ,
-2043.1 2046.29 -204.617,    151 397,                         stand,   13.8423 -19.5243 0.0,   ,
-2043.34 2274.23 -196.463,   396 398,                         stand,   5.72891 8.27115 0.0,    ,
-1789.46 2561.9 -137.733,    150 397 399,                     stand,   10.2168 -66.4963 0.0,   ,
-1629.22 2432.44 -123.875,   398 400,                         stand,   14.1884 139.843 0.0,    ,
-1596.39 2364.47 -123.875,   149 150 399,                     stand,   26.1031 26.069 0.0,     ,
-1635.8 2563.53 -123.875,    149 402,                         crouch,  3.65799 -13.1357 0.0,   ,
-1502.04 2324.68 -123.875,   149 401,                         crouch,  1.75735 68.7014 0.0,    ,
-1020.04 2908.37 -123.875,   65,                              crouch,  2.61978 -89.4577 0.0,   ,
-1108.16 2641.54 -120.106,   65 148 405,                      climb,   -85.0 -60.2835 0.0,     ,
-1107.83 2637.18 10.125,     128 404,                         climb,   83.9618 120.491 0.0,    ,
-957.269 2428.12 6.125,      128,                             climb,   9.89197 -51.8241 0.0,   ,
-1032.69 2469.32 6.125,      128,                             climb,   11.9629 -151.624 0.0,   ,
-1185.36 2778.59 6.125,      130,                             crouch,  23.7018 -55.109 0.0,    ,
-853.798 2486.0 6.125,       128,                             crouch,  5.74463 146.221 0.0,    ,
-997.246 2405.66 -123.875,   66,                              crouch,  0.740357 71.8051 0.0,   ,
-184.446 1401.8 100.712,     114 122 191 413,                 stand,   16.9189 -20.3851 0.0,   ,
213.422 1175.07 154.277,     122,                             crouch,  5.69641 119.476 0.0,    ,
-162.165 1653.6 100.506,     122 138 411,                     stand,   12.2607 -108.951 0.0,   ,
387.911 1292.14 190.125,     82 415 416 417 418,              stand,   13.2935 -106.545 0.0,   ,
436.93 1149.31 190.125,      83 106 414 418,                  stand,   16.9189 -114.659 0.0,   ,
275.372 1166.51 190.125,     83 414 417,                      stand,   13.9856 67.6648 0.0,    ,
303.798 1347.85 198.125,     414 416,                         crouch,  2.76306 -71.3342 0.0,   ,
488.36 1285.19 190.125,      414 415,                         crouch,  0.170288 -138.505 0.0,  ,
118.354 1074.68 190.125,     83 168 420,                      stand,   11.2225 169.184 0.0,    ,
-78.3458 1124.83 190.125,    419 421,                         stand,   11.3983 171.947 0.0,    ,
-308.315 1036.11 190.125,    420 422 424 425,                 stand,   11.2225 -58.3813 0.0,   ,
-178.168 850.009 190.125,    421 423,                         stand,   12.6068 11.5466 0.0,    ,
54.5216 871.569 190.125,     83 168 422,                      stand,   11.9147 -2.95532 0.0,   ,
-282.822 1161.46 190.125,    421,                             stand,   18.8196 137.758 0.0,    ,
-353.515 914.988 190.125,    421,                             stand,   23.6536 -173.205 0.0,   ,
797.635 981.506 190.125,     105,                             crouch,  2.2467 -150.776 0.0,    ,
171.143 870.353 318.125,     108 428,                         crouch,  25.2081 69.895 0.0,     ,
128.616 848.145 334.125,     108 427,                         crouch,  23.9996 153.638 0.0,    ,
95.9872 647.619 318.125,     107,                             crouch,  7.08069 -16.441 0.0,    ,
609.469 408.864 316.125,     111,                             crouch,  6.90491 -154.061 0.0,   ,
558.292 230.916 316.125,     111,                             crouch,  6.04248 114.598 0.0,    ,
321.74 365.766 346.125,      111,                             crouch,  20.2039 -167.536 0.0,   ,
313.573 605.444 190.125,     168,                             crouch,  -2.2467 110.446 0.0,    ,
226.469 330.865 190.125,     167,                             prone,   -0.516357 117.532 0.0,  ,
536.204 240.893 182.125,     235,                             crouch,  3.4552 128.057 0.0,     ,
493.646 792.804 190.125,     164 166,                         crouch,  2.76306 -60.8368 0.0,   ,
520.035 880.838 190.125,     105,                             crouch,  3.4552 17.7319 0.0,     ,
694.522 426.002 38.125,      161 162,                         crouch,  3.27942 115.291 0.0,    ,
303.141 540.376 38.125,      161 440,                         crouch,  2.41699 31.8933 0.0,    ,
397.936 864.55 38.125,       101 439,                         crouch,  2.2467 -57.8925 0.0,    ,
683.16 1047.87 38.125,       102,                             crouch,  1.37878 -82.9358 0.0,   ,
775.59 1007.82 38.125,       102,                             crouch,  2.07092 -116.603 0.0,   ,
621.749 838.955 38.125,      102,                             crouch,  0.862427 26.1914 0.0,   ,
-3400.69 2916.95 -307.075,   260 391 392 393 445,             stand,   25.5542 -123.394 0.0,   ,
-3454.42 2802.75 -307.075,   252 259 444 446,                 stand,   28.147 168.925 0.0,     ,
-3571.06 2885.98 -307.075,   251 257 260 445,                 stand,   27.2791 69.1197 0.0,    ,
