364
-647.097 -1790.15 208.125,   65 263 274,        stand,  0.0 0.0 0.0,           ,
-1543.49 -1406.62 -115.364,  236 342,           stand,  0.0 0.0 0.0,           ,
-1510.92 -1643.86 -76.7274,  235 341 343,       stand,  0.0 0.0 0.0,           ,
-1657.4 -1645.74 -68.375,    342 344,           stand,  0.0 0.0 0.0,           ,
-1867.11 -1652.36 -68.375,   343 345 346,       stand,  0.0 0.0 0.0,           ,
-1953.27 -1699.67 -68.375,   344 346,           stand,  0.0 0.0 0.0,           ,
-1977.61 -1570.36 -68.375,   344 345,           stand,  0.0 0.0 0.0,           ,
-1006.8 -2392.83 143.356,    230 348,           stand,  0.0 0.0 0.0,           ,
-1166.82 -2255.75 78.6408,   234 347,           stand,  0.0 0.0 0.0,           ,
-452.017 -1739.71 204.125,   66 263,            stand,  0.0 0.0 0.0,           ,
-99.9215 -1480.21 208.849,   67 351,            stand,  0.0 0.0 0.0,           ,
-93.9093 -1397.44 263.125,   350 352,           stand,  0.0 0.0 0.0,           ,
-120.875 -1314.22 263.125,   351 353,           stand,  0.0 0.0 0.0,           ,
101.305 -1374.77 263.125,    352 354,           stand,  0.0 0.0 0.0,           ,
373.756 -1420.65 263.125,    353 357,           stand,  0.0 0.0 0.0,           ,
361.823 -1694.87 263.125,    356 357,           stand,  0.0 0.0 0.0,           ,
433.68 -1636.1 263.125,      355 357,           stand,  0.0 0.0 0.0,           ,
371.465 -1534.51 263.125,    354 355 356,       stand,  0.0 0.0 0.0,           ,
1588.68 -175.359 118.075,    84 85 359,         stand,  0.0 0.0 0.0,           ,
1628.3 -170.02 116.263,      358 360,           climb,  4.94812 -2.14233 0.0,  ,
1666.5 -179.055 239.125,     359 361,           climb,  10.2271 0.829468 0.0,  ,
1864.48 -173.063 234.625,    307 360,           stand,  0.0 0.0 0.0,           ,
-1304.72 -1106.2 62.728,     334 335,           climb,  -54.859 38.941 0.0,    ,
-1346.79 -1113.62 -42.1883,  334 338,           stand,  0.0 0.0 0.0,           ,
