653
2250.5 -347.5 508.625,      77 80 561,                    stand,  ,  ,
2834.0 -122.641 508.625,    434 436,                      stand,  ,  ,
2844.26 -13.1509 508.625,   1 435 437 438,                stand,  ,  ,
2836.34 65.1067 508.625,    195 436,                      stand,  ,  ,
2777.74 -21.7837 508.625,   436 439,                      stand,  ,  ,
2708.1 -39.4945 508.625,    430 431 438,                  stand,  ,  ,
2664.41 107.566 508.625,    195 196 204 430 543 544,      stand,  ,  ,
2679.87 315.604 508.625,    196 443 524 544 607,          stand,  ,  ,
2680.46 455.352 508.625,    232 443 607,                  stand,  ,  ,
2797.18 383.612 508.625,    441 442 607,                  stand,  ,  ,
3254.45 -334.167 508.625,   165 166 445,                  stand,  ,  ,
3377.81 -331.812 508.625,   68 444 446,                   stand,  ,  ,
3488.35 -305.603 508.625,   445 447,                      stand,  ,  ,
3598.13 -269.046 508.625,   67 446 448,                   stand,  ,  ,
3698.5 -185.929 508.625,    186 447,                      stand,  ,  ,
3545.29 -8.47752 508.625,   186 187 457,                  stand,  ,  ,
3568.88 153.046 503.625,    175 177 187 188 192 451,      stand,  ,  ,
3431.95 267.605 508.625,    173 450 453,                  stand,  ,  ,
3363.88 300.517 508.625,    172 192,                      stand,  ,  ,
3289.25 315.705 508.625,    174 192 239 451,              stand,  ,  ,
3222.1 357.309 508.625,     173 238,                      stand,  ,  ,
2999.86 399.402 508.625,    169 170 456,                  stand,  ,  ,
2933.69 418.468 508.625,    455 458,                      stand,  ,  ,
3391.13 -61.2723 508.625,   190 449 547 650,              stand,  ,  ,
2913.3 402.968 634.125,     251 456,                      stand,  ,  ,
1228.81 -16.9647 508.625,   218 219 219 320 558,          stand,  ,  ,
121.244 378.625 460.625,    334 335,                      stand,  ,  ,
-294.589 108.174 386.125,   12 18 311 462,                stand,  ,  ,
-419.973 110.033 386.125,   312 461 465 472 473,          stand,  ,  ,
-59.5807 182.744 432.503,   309 312 312 464,              stand,  ,  ,
-16.9473 61.8425 446.844,   310 311 463,                  stand,  ,  ,
-393.012 -36.7547 386.125,  18 462 471 490,               stand,  ,  ,
-373.631 -128.811 368.625,  106 470 490,                  stand,  ,  ,
-271.445 -171.944 368.625,  18 468 469 470,               stand,  ,  ,
-250.45 -288.981 375.125,   105 467,                      stand,  ,  ,
-309.295 -302.851 375.125,  106 467 506,                  stand,  ,  ,
-432.407 -137.765 375.125,  466 467,                      stand,  ,  ,
-516.328 -41.0505 386.125,  465 472,                      stand,  ,  ,
-578.282 78.6418 386.125,   462 471 473 489,              stand,  ,  ,
-613.971 256.436 386.125,   17 462 472 474,               stand,  ,  ,
-658.408 429.248 375.125,   129 473 483 484 491,          stand,  ,  ,
-737.413 481.844 375.125,   128 482,                      stand,  ,  ,
-820.296 505.556 375.125,   126 483,                      stand,  ,  ,
-739.056 -81.6314 386.125,  478 489,                      stand,  ,  ,
-801.615 -130.267 375.125,  109 477 479 480,              stand,  ,  ,
-852.865 -245.574 375.125,  111 478 503,                  stand,  ,  ,
-793.375 9.92214 386.125,   478 481,                      stand,  ,  ,
-793.375 239.642 386.125,   480 630,                      stand,  ,  ,
-783.85 369.195 375.125,    475 630,                      stand,  ,  ,
-822.556 379.077 375.125,   474 476 491,                  stand,  ,  ,
-547.844 495.34 375.125,    474 485,                      stand,  ,  ,
-434.838 545.792 375.125,   132 484 486,                  stand,  ,  ,
-314.273 575.108 375.125,   485 487 520,                  stand,  ,  ,
-296.215 532.48 375.125,    17 486 488 520,               stand,  ,  ,
-267.569 368.409 369.011,   12 487 633,                   stand,  ,  ,
-625.054 -4.03727 386.125,  472 477,                      stand,  ,  ,
-360.865 -74.9956 386.125,  465 466,                      stand,  ,  ,
-857.625 377.611 375.125,   125 474 483 492,              stand,  ,  ,
-1058.76 377.565 375.125,   491 493,                      stand,  ,  ,
-1149.49 383.74 324.657,    492 625,                      stand,  ,  ,
-1290.26 267.974 304.625,   495 515 515 516,              stand,  ,  ,
-1296.09 164.698 304.625,   119 494 496,                  stand,  ,  ,
-1291.8 60.4527 304.625,    495 514 628,                  stand,  ,  ,
-1201.63 -97.8506 304.625,  116 498 628,                  stand,  ,  ,
-1132.08 -103.9 333.886,    497 499,                      stand,  ,  ,
-1038.83 -113.2 375.125,    498 500,                      stand,  ,  ,
-972.065 -117.785 375.125,  499 629,                      stand,  ,  ,
-747.855 -36.6339 386.125,  502 629 632,                  stand,  ,  ,
-644.002 -35.4795 386.125,  501 503,                      stand,  ,  ,
-579.709 -226.385 375.125,  479 502 504,                  stand,  ,  ,
-490.962 -279.829 375.125,  503 505,                      stand,  ,  ,
-393.534 -323.629 375.125,  107 108 504 506,              stand,  ,  ,
-293.4 -350.952 375.125,    469 505 507,                  stand,  ,  ,
-191.73 -367.215 375.125,   506 508,                      stand,  ,  ,
-94.0874 -374.735 411.206,  507 509,                      stand,  ,  ,
2.05702 -375.856 451.63,    102 508 510,                  stand,  ,  ,
104.105 -370.147 460.625,   100 102 509 511 582,          stand,  ,  ,
207.27 -362.715 468.625,    510 512,                      stand,  ,  ,
311.278 -349.28 468.625,    511 513,                      stand,  ,  ,
412.007 -331.194 468.625,   99 330 512,                   stand,  ,  ,
-1396.89 61.9913 260.625,   118 496,                      stand,  ,  ,
-1390.95 262.339 260.625,   120 494 494,                  stand,  ,  ,
-1319.78 305.373 304.625,   20 494,                       stand,  ,  ,
42.7094 628.977 460.625,    135 336 518 571,              stand,  ,  ,
-15.3412 639.823 444.315,   136 517 519,                  stand,  ,  ,
-129.686 629.367 396.238,   518 520,                      stand,  ,  ,
-233.203 606.031 375.125,   131 133 486 487 519,          stand,  ,  ,
174.537 623.93 460.625,     334 522,                      stand,  ,  ,
285.989 637.623 460.625,    521 523,                      stand,  ,  ,
338.862 587.646 460.625,    383 522,                      stand,  ,  ,
2726.01 506.926 508.625,    232 233 441,                  stand,  ,  ,
1037.96 528.808 508.625,    144 404,                      stand,  ,  ,
688.439 -20.341 518.425,    289 527,                      stand,  ,  ,
535.118 -33.1537 462.819,   307 526,                      stand,  ,  ,
2019.9 118.503 508.625,     26 392 397 529 542,           stand,  ,  ,
2319.76 94.9748 508.625,    202 203 528 554,              stand,  ,  ,
2375.55 -104.224 508.625,   205 242 532 652,              stand,  ,  ,
2558.37 -118.622 508.625,   204 532 555,                  stand,  ,  ,
2461.22 -126.004 508.625,   205 530 531 555,              stand,  ,  ,
2485.24 642.168 508.625,    229 232,                      stand,  ,  ,
2416.59 666.266 508.625,    42 44,                        stand,  ,  ,
2183.36 11.5817 508.625,    9 209 553,                    stand,  ,  ,
1482.27 -156.375 508.625,   214 215 537,                  stand,  ,  ,
1542.3 43.0606 508.625,     28 536 538,                   stand,  ,  ,
1529.96 287.728 508.625,    405 406 537,                  stand,  ,  ,
1109.64 255.853 508.625,    279 404 405 540,              stand,  ,  ,
876.98 220.862 518.425,     147 283 539,                  stand,  ,  ,
1817.36 211.457 508.625,    410 542,                      stand,  ,  ,
1959.43 19.4799 508.625,    11 210 391 528 541 646,       stand,  ,  ,
2579.92 74.3921 508.625,    202 440 554 555,              stand,  ,  ,
2706.72 220.518 508.625,    440 441 644,                  stand,  ,  ,
3093.0 -122.331 508.625,    191 240,                      stand,  ,  ,
3005.72 47.116 508.625,     14 193,                       stand,  ,  ,
3211.28 -45.2647 508.625,   14 457,                       stand,  ,  ,
3906.52 184.141 516.625,    176 549 568,                  stand,  ,  ,
3928.12 83.36 516.625,      187 548,                      stand,  ,  ,
2983.44 728.375 508.625,    235 236,                      stand,  ,  ,
2264.63 408.779 508.625,    201 202,                      stand,  ,  ,
2106.3 100.6 508.625,       11 553 553 588,               stand,  ,  ,
2228.79 63.8285 508.625,    206 242 535 552 552,          stand,  ,  ,
2441.39 95.9462 508.625,    273 529 543 555,              stand,  ,  ,
2486.98 42.711 508.625,     531 532 543 554 556,          stand,  ,  ,
2190.7 -194.144 508.625,    9 242 555 652,                stand,  ,  ,
1970.74 228.633 508.625,    26 397,                       stand,  ,  ,
1109.95 -294.766 508.625,   149 459,                      stand,  ,  ,
918.608 -179.117 508.625,   321 323,                      stand,  ,  ,
1023.06 -330.498 508.625,   4 92 149 324,                 stand,  ,  ,
2225.71 -255.625 508.625,   0 159,                        stand,  ,  ,
3340.83 654.921 508.625,    16 563,                       stand,  ,  ,
3525.09 601.92 508.625,     49 562 564,                   stand,  ,  ,
3649.11 553.774 508.625,    563 565,                      stand,  ,  ,
3728.11 479.117 508.625,    564 567,                      stand,  ,  ,
3751.6 456.538 508.625,     178 567,                      stand,  ,  ,
3730.82 398.515 508.625,    176 565 566,                  stand,  ,  ,
3730.03 184.22 503.625,     178 548,                      stand,  ,  ,
3921.05 12.0511 508.625,    185 570,                      stand,  ,  ,
3714.3 3.03984 508.625,     188 569,                      stand,  ,  ,
45.5428 502.614 460.625,    517 572,                      stand,  ,  ,
42.6233 343.777 460.625,    571 573,                      stand,  ,  ,
-64.5887 276.167 461.125,   572 574,                      stand,  ,  ,
35.2383 247.04 461.125,     573 575,                      stand,  ,  ,
171.54 204.587 460.625,     295 574,                      stand,  ,  ,
417.413 -117.81 460.625,    292 577,                      stand,  ,  ,
540.61 -126.811 465.308,    304 576,                      stand,  ,  ,
218.226 -151.195 460.625,   292 293,                      stand,  ,  ,
676.226 269.402 518.425,    282 580,                      stand,  ,  ,
692.602 483.831 571.425,    373 579,                      stand,  ,  ,
900.975 458.314 676.425,    370 373,                      stand,  ,  ,
43.1776 -276.326 460.625,   377 510,                      stand,  ,  ,
-68.7829 -22.0069 461.125,  332 376,                      stand,  ,  ,
351.196 -455.375 468.625,   99 100,                       stand,  ,  ,
2130.74 402.853 508.625,    397 586,                      stand,  ,  ,
2170.91 565.771 508.625,    585 587,                      stand,  ,  ,
2217.33 653.917 508.625,    228 586,                      stand,  ,  ,
2100.97 149.771 508.625,    397 552,                      stand,  ,  ,
1534.25 166.071 508.625,    13 389 408,                   stand,  ,  ,
1723.67 11.3748 508.625,    275 391,                      stand,  ,  ,
1770.43 294.919 508.625,    13 393,                       stand,  ,  ,
526.8 359.689 301.625,      593 635,                      stand,  ,  ,
659.867 372.341 301.625,    592 594 616,                  stand,  ,  ,
795.465 365.655 301.625,    593 596 618,                  stand,  ,  ,
1409.45 62.7902 301.625,    602 619,                      stand,  ,  ,
819.914 389.966 301.625,    594 597 616,                  stand,  ,  ,
828.367 131.608 301.625,    596 618 620,                  stand,  ,  ,
1312.31 208.54 301.625,     602 615 619 643,              stand,  ,  ,
1707.81 380.234 301.625,    600 613 622 623,              stand,  ,  ,
1701.84 156.377 301.625,    599 601 613 641,              stand,  ,  ,
1489.89 176.572 301.625,    600 602 614 642,              stand,  ,  ,
1398.73 176.734 301.625,    595 598 601,                  stand,  ,  ,
1847.88 359.102 334.625,    604 610 624,                  stand,  ,  ,
1949.68 371.72 334.625,     603 605 609 611,              stand,  ,  ,
2168.48 343.111 334.625,    604 606 609 640,              stand,  ,  ,
2388.36 342.885 352.011,    605 639,                      stand,  ,  ,
2670.58 378.636 508.625,    441 442 443 638,              stand,  ,  ,
2368.73 396.875 347.376,    609 639,                      stand,  ,  ,
2115.42 397.149 334.625,    604 605 608 640,              stand,  ,  ,
1802.41 283.817 335.625,    603 612 613,                  stand,  ,  ,
1957.42 172.264 335.625,    604 612,                      stand,  ,  ,
1850.62 108.249 335.625,    610 611,                      stand,  ,  ,
1719.59 291.945 302.625,    599 600 610,                  stand,  ,  ,
1496.88 462.464 302.625,    601 615 622,                  stand,  ,  ,
1328.5 425.725 302.625,     598 614,                      stand,  ,  ,
668.042 432.489 302.524,    593 596 617,                  stand,  ,  ,
470.812 433.792 302.524,    616 636,                      stand,  ,  ,
788.728 65.9227 302.625,    594 597 621,                  stand,  ,  ,
1229.17 79.5555 302.625,    595 598 620 621 643,          stand,  ,  ,
1091.82 104.887 302.422,    597 619,                      stand,  ,  ,
1095.34 57.1877 302.561,    618 619,                      stand,  ,  ,
1693.44 437.699 302.595,    599 614,                      stand,  ,  ,
1731.74 322.614 302.595,    599 624,                      stand,  ,  ,
1782.91 321.994 335.504,    603 623,                      stand,  ,  ,
-1291.54 367.628 304.125,   493 626,                      stand,  ,  ,
-1393.85 375.148 260.036,   120 625,                      stand,  ,  ,
-1468.81 -88.2656 260.125,  117 118,                      stand,  ,  ,
-1295.01 -75.3956 304.035,  496 497,                      stand,  ,  ,
-856.572 -66.7247 385.625,  500 501,                      stand,  ,  ,
-791.941 302.962 385.551,   481 482 631,                  stand,  ,  ,
-757.828 237.302 385.625,   630 632,                      stand,  ,  ,
-765.434 69.4521 385.625,   501 631,                      stand,  ,  ,
-351.833 405.84 366.625,    17 488,                       stand,  ,  ,
409.635 354.752 460.625,    297 635,                      stand,  ,  ,
439.626 354.599 302.625,    592 634,                      stand,  ,  ,
439.626 391.133 302.608,    617 637,                      stand,  ,  ,
403.404 393.193 460.625,    298 636,                      stand,  ,  ,
2643.37 378.565 399.622,    607 639,                      stand,  ,  ,
2548.72 380.113 390.541,    606 608 638,                  stand,  ,  ,
2047.96 326.237 335.625,    605 609,                      stand,  ,  ,
1710.77 72.7532 302.625,    600 642,                      stand,  ,  ,
1602.83 158.523 302.625,    601 641,                      stand,  ,  ,
1256.44 285.74 302.625,     598 619,                      stand,  ,  ,
2923.83 186.043 508.125,    239 544,                      stand,  ,  ,
2119.44 764.729 504.125,    227 411,                      stand,  ,  ,
2087.06 28.6369 684.625,    265 542,                      stand,  ,  ,
2581.44 239.094 634.125,    258 260,                      stand,  ,  ,
2274.63 -31.2996 634.125,   260 271,                      stand,  ,  ,
2980.49 90.0981 668.625,    248 249 650,                  stand,  ,  ,
3333.16 131.639 636.625,    457 649,                      stand,  ,  ,
2561.2 -200.082 634.125,    243 652,                      stand,  ,  ,
2330.84 -206.983 509.729,   242 530 556 651,              stand,  ,  ,
