360
1792.0 -1502.0 396.125,     1 13 231 232 233,                 stand,     0.0 0.0 0.0,            ,
467.401 -3890.07 848.125,   177,                              claymore,  17.9572 124.821 0.0,    ,
478.728 -3593.88 848.125,   174,                              claymore,  34.1895 -30.3937 0.0,   ,
455.128 -4204.88 744.125,   178,                              crouch,    10.1898 34.8761 0.0,    ,
582.625 -3879.13 600.125,   203,                              crouch,    1.38428 -48.5266 0.0,   ,
1400.06 -4066.87 600.125,   59,                               claymore,  16.2323 -36.4362 0.0,   ,
1406.95 -3920.63 600.125,   60,                               crouch,    2.07092 -126.392 0.0,   ,
1229.29 -4045.03 600.125,   61,                               claymore,  21.2366 -131.743 0.0,   ,
830.068 -3479.55 600.125,   65,                               claymore,  8.98132 120.168 0.0,    ,
733.177 -3466.95 600.125,   65,                               claymore,  17.0947 56.283 0.0,     ,
2572.88 -3936.88 600.125,   55,                               crouch,    7.77283 137.263 0.0,    ,
2456.63 -3811.42 600.125,   55,                               claymore,  15.7104 67.6813 0.0,    ,
2122.4 -3954.76 600.125,    53,                               claymore,  15.3699 13.6395 0.0,    ,
2556.26 -2552.51 600.125,   36,                               claymore,  12.085 -127.425 0.0,    ,
2370.36 -2282.51 600.125,   28,                               claymore,  11.7444 141.405 0.0,    ,
2343.81 -2249.07 748.125,   34,                               crouch,    11.3983 -170.936 0.0,   ,
2703.26 -2306.82 748.125,   31,                               claymore,  50.592 -179.39 0.0,     ,
1782.24 -3021.84 600.125,   23,                               claymore,  31.2506 -145.723 0.0,   ,
2163.13 -2005.48 592.125,   11,                               claymore,  25.2081 154.363 0.0,    ,
1782.04 -2008.88 558.125,   226 330,                          climb,     -63.3691 -90.4724 0.0,  ,
1774.69 -2041.55 624.125,   229 329,                          stand,     65.094 179.696 0.0,     ,
1575.73 -2008.87 558.125,   228 332,                          climb,     -56.8048 -87.409 0.0,   ,
1575.1 -2040.41 624.125,    8 331,                            stand,     78.9093 -90.8643 0.0,   ,
1340.5 -2008.87 558.125,    227,                              crouch,    12.9529 109.081 0.0,    ,
1111.13 -1427.13 480.125,   3,                                crouch,    4.31763 -54.6881 0.0,   ,
1627.83 -1840.6 384.125,    233,                              claymore,  36.4789 -135.839 0.0,   ,
1488.41 -1832.93 384.125,   235,                              claymore,  22.8394 -53.4796 0.0,   ,
457.275 -2156.53 760.125,   192,                              claymore,  39.7638 84.2944 0.0,    ,
361.244 -2302.59 820.125,   193,                              claymore,  17.489 3.14394 0.0,     ,
242.187 -2025.81 820.125,   100,                              claymore,  23.0151 139.891 0.0,    ,
266.872 -2446.88 816.125,   282,                              crouch,    10.0622 -29.1394 0.0,   ,
-3.09958 -2329.41 848.125,  108,                              crouch,    10.9247 44.068 0.0,     ,
-7.90782 -1953.02 672.125,  87,                               claymore,  20.2521 132.645 0.0,    ,
289.486 -2322.04 672.125,   280,                              claymore,  32.337 -52.4414 0.0,    ,
155.739 -2558.25 672.125,   285,                              grenade,   -18.7714 18.1787 0.0,   ,
859.587 -2372.4 672.125,    188,                              grenade,   -75.6781 -61.4227 0.0,  ,
505.568 -2566.64 672.125,   286,                              grenade,   -28.0194 -23.0914 0.0,  ,
1822.91 -2836.56 600.125,   24,                               grenade,   -33.0292 -178.817 0.0,  ,
1005.25 -2795.44 531.932,   292,                              grenade,   -50.8106 60.6573 0.0,   ,
-535.306 -2997.34 648.125,  162,                              grenade,   -42.3511 -3.74449 0.0,  ,
-248.313 -3717.13 848.125,  172,                              javelin,   14.245 47.3859 0.0,     ,
-62.5663 -3723.5 848.125,   172,                              javelin,   13.7262 143.516 0.0,    ,
415.125 -3579.4 848.125,    249,                              javelin,   6.84326 155.53 0.0,     ,
2068.79 -2959.75 640.125,   198,                              javelin,   2.59705 -179.339 0.0,   ,
1995.15 -3079.91 606.125,   209,                              javelin,   1.13586 175.816 0.0,    ,
2081.19 -2196.84 600.125,   10,                               javelin,   3.28369 -145.935 0.0,   ,
14.4638 -2669.36 672.125,   81,                               javelin,   4.70642 -14.2859 0.0,   ,
50.9409 -2882.73 648.125,   80,                               javelin,   7.50244 -1.4868 0.0,    ,
244.42 -2402.71 816.125,    282,                              javelin,   7.74963 -22.4432 0.0,   ,
-129.664 -2306.66 816.125,  103,                              javelin,   7.18933 -167.084 0.0,   ,
