363
-796.213 1116.21 8.125,      256 257,              stand,  0.0 0.0 0.0,            ,
-171.35 1475.34 144.125,     336 338,              stand,  0.0 0.0 0.0,            ,
-171.263 1574.1 96.125,      337 339,              stand,  0.0 0.0 0.0,            ,
-58.7171 1577.24 96.125,     338 340,              stand,  0.0 0.0 0.0,            ,
-65.776 1394.96 8.125,       81 339,               stand,  0.0 0.0 0.0,            ,
-971.594 1540.45 8.125,      27 74,                stand,  0.0 0.0 0.0,            ,
1548.27 8.72335 8.125,       102 129,              stand,  0.0 0.0 0.0,            ,
1138.38 441.226 144.125,     11 131,               stand,  0.0 0.0 0.0,            ,
1110.89 728.103 144.125,     11 345,               stand,  0.0 0.0 0.0,            ,
983.125 683.694 144.125,     344 346,              climb,  35.9692 -7.82227 0.0,   ,
953.4 688.35 176.125,        345 349,              climb,  38.0621 -5.83923 0.0,   ,
885.874 673.281 8.125,       277 348,              climb,  -8.24524 3.51013 0.0,   ,
908.562 673.281 58.8288,     347 349,              climb,  -8.24524 3.51013 0.0,   ,
934.217 682.732 123.222,     346 348,              climb,  30.5804 -0.560303 0.0,  ,
-476.508 -718.633 7.125,     34 318,               stand,  0.0 0.0 0.0,            ,
229.572 -346.579 16.125,     35 304,               stand,  0.0 0.0 0.0,            ,
396.356 -470.956 16.125,     36 304,               stand,  0.0 0.0 0.0,            ,
945.323 -132.829 8.125,      284 354,              stand,  0.0 0.0 0.0,            ,
975.839 129.813 8.125,       10 131 353,           stand,  0.0 0.0 0.0,            ,
277.725 -135.073 152.125,    38 356,               stand,  0.0 0.0 0.0,            ,
272.036 60.1304 48.125,      307 355,              stand,  0.0 0.0 0.0,            ,
157.398 -429.688 152.125,    38 39,                stand,  0.0 0.0 0.0,            ,
-1742.24 -1075.48 45.125,    20 211,               stand,  0.0 0.0 0.0,            ,
-954.765 -1420.64 144.125,   197 360,              stand,  0.0 0.0 0.0,            ,
-906.571 -1330.36 144.125,   198 359,              stand,  0.0 0.0 0.0,            ,
-655.54 -722.108 0.125,      50 228,               stand,  0.0 0.0 0.0,            ,
-851.75 -351.882 8.125,      40 228,               stand,  0.0 0.0 0.0,            ,
