558
932.372 -2869.11 -159.875,   1 228 427,                            stand,   ,                        ,
-1838.51 -5229.02 -167.875,  252 346 348 351,                      stand,   22.5726 0.950317 0.0,    ,
-1479.19 -5234.71 -166.574,  252 346 347 349 350,                  stand,   10.3119 3.36731 0.0,     ,
-1118.28 -5236.33 -170.129,  252 348 350 355,                      stand,   10.6579 22.0111 0.0,     ,
-1054.01 -4891.05 -145.151,  92 252 339 348 349,                   stand,   10.1416 38.5895 0.0,     ,
-1955.6 -5308.0 -155.889,    347,                                  crouch,  2.02269 39.6222 0.0,     ,
-1799.13 -4753.13 -138.94,   346 353,                              crouch,  10.4877 -107.314 0.0,    ,
-1984.95 -4753.13 -141.429,  346 352,                              crouch,  9.44944 -51.8939 0.0,    ,
-1730.28 -4771.51 -138.782,  253,                                  crouch,  3.57725 48.598 0.0,      ,
-983.125 -5289.01 -176.602,  349,                                  crouch,  3.40696 131.473 0.0,     ,
-128.609 -5206.37 -271.853,  86 87 357 358 360,                    stand,   41.2219 -1.30737 0.0,    ,
181.416 -5153.45 -301.719,   356 358 359,                          stand,   53.1311 84.8474 0.0,     ,
213.368 -4982.42 -288.713,   86 87 356 357,                        stand,   27.5769 114.543 0.0,     ,
178.326 -5301.15 -313.322,   357,                                  crouch,  -1.6028 98.6627 0.0,     ,
-432.875 -5392.88 -182.018,  87 356 362,                           crouch,  6.86216 49.9658 0.0,     ,
-413.525 -4968.23 -167.36,   87 362 363,                           stand,   57.7948 -56.9147 0.0,    ,
-411.881 -5124.12 -189.6,    87 89 360 361,                        stand,   37.4207 -172.425 0.0,    ,
-389.984 -4871.84 -152.187,  361 364,                              stand,   59.5252 78.1073 0.0,     ,
-376.783 -4613.32 -143.419,  363 365,                              stand,   18.255 96.405 0.0,       ,
-398.271 -4327.71 -145.972,  364 366,                              stand,   20.5017 87.4292 0.0,     ,
-351.372 -4119.9 -182.77,    365 367,                              stand,   72.4725 92.7795 0.0,     ,
-350.208 -3950.84 -163.875,  78 102 366,                           stand,   44.8474 91.7413 0.0,     ,
361.212 -5237.15 -179.536,   369,                                  crouch,  9.27916 111.389 0.0,     ,
386.216 -4978.38 -175.688,   368 370,                              stand,   15.1459 76.6828 0.0,     ,
412.578 -4792.18 -191.551,   85 369,                               stand,   25.3357 88.0811 0.0,     ,
527.783 -4552.58 -210.044,   84 85 372,                            stand,   14.9756 120.2 0.0,       ,
509.529 -4291.38 -150.759,   371 373 376,                          stand,   20.672 50.9583 0.0,      ,
636.594 -4231.52 -138.476,   74 372 374,                           stand,   30.1697 -126.196 0.0,    ,
713.503 -4303.83 -154.339,   73 74 84 373,                         stand,   49.8517 -97.8735 0.0,    ,
1053.19 -4181.13 -129.531,   73,                                   crouch,  9.27916 -130.508 0.0,    ,
479.128 -4263.13 -150.849,   372,                                  crouch,  5.99424 -32.0929 0.0,    ,
1046.9 -4525.09 -135.915,    73,                                   crouch,  8.07066 143.677 0.0,     ,
1690.32 -4469.0 -119.875,    70,                                   crouch,  4.43968 146.951 0.0,     ,
1683.16 -4059.31 -101.875,   69,                                   crouch,  6.51609 -132.239 0.0,    ,
1097.5 -4069.54 -119.875,    256,                                  crouch,  6.17002 -31.9171 0.0,    ,
1222.16 -4124.74 -13.875,    382 383,                              climb,   85.0 1.58572 0.0,        ,
1231.43 -4121.3 -119.767,    68 381,                               climb,   -85.0 179.257 0.0,       ,
1144.71 -4110.75 -13.875,    264 381,                              stand,   40.2802 143.15 0.0,      ,
1089.03 -4258.69 -13.875,    264 385,                              prone,   13.6932 -176.102 0.0,    ,
1158.05 -4293.52 -13.875,    264 265 384,                          stand,   57.0288 -68.1994 0.0,    ,
1087.79 -4429.52 -13.875,    265,                                  crouch,  6.61255 54.397 0.0,      ,
1273.96 -4411.09 -13.875,    265 266 388,                          stand,   30.2661 169.902 0.0,     ,
1232.96 -4500.99 -13.875,    387,                                  crouch,  6.78284 50.9363 0.0,     ,
1698.73 -4492.86 -13.875,    266,                                  crouch,  7.82105 136.064 0.0,     ,
1695.16 -4058.91 10.125,     267,                                  crouch,  14.5557 -125.691 0.0,    ,
1508.19 -4171.29 -13.875,    392,                                  crouch,  21.9769 160.234 0.0,     ,
1582.15 -4179.09 -13.875,    267 391,                              stand,   28.7115 23.3112 0.0,     ,
1698.55 -4307.0 -13.875,     266 394,                              prone,   11.6168 47.4866 0.0,     ,
1685.8 -4269.43 -13.875,     267 393 395,                          stand,   67.735 -176.459 0.0,     ,
1770.87 -4276.22 -87.875,    394 396 399 400,                      stand,   52.0245 5.17276 0.0,     ,
1847.52 -4268.33 -129.844,   64 255 395 397 400,                   stand,   57.721 5.34305 0.0,      ,
1999.46 -4450.7 -122.953,    396 398 400,                          stand,   46.4984 64.2243 0.0,     ,
2083.27 -4313.32 -122.958,   63 64 397,                            stand,   23.1854 70.2668 0.0,     ,
1729.28 -4051.13 -135.875,   255 395,                              crouch,  4.01978 -31.7798 0.0,    ,
1736.96 -4491.37 -126.462,   395 396 397,                          crouch,  3.50342 54.029 0.0,      ,
3043.94 -3613.22 -116.728,   61 62 402 406 407,                    stand,   15.2478 85.6256 0.0,     ,
3130.0 -3303.62 -126.353,    43 60 61 401 403 404 405 406,         stand,   14.5557 86.6584 0.0,     ,
3016.94 -2834.26 -151.794,   43 60 402 404 405,                    stand,   11.9629 133.795 0.0,     ,
3169.91 -2867.15 -135.135,   402 403 405,                          crouch,  10.9302 -174.75 0.0,     ,
3229.78 -3225.89 -123.329,   402 403 404 406,                      crouch,  6.95862 175.411 0.0,     ,
3187.86 -3421.61 -116.153,   46 401 402 405,                       crouch,  9.37561 159.86 0.0,      ,
2863.44 -3790.91 -116.689,   61 62 401,                            crouch,  6.78284 121.172 0.0,     ,
2818.88 -2570.88 -143.875,   258,                                  crouch,  9.72168 144.139 0.0,     ,
2619.13 -2421.13 -143.875,   42,                                   crouch,  7.12891 -37.1521 0.0,    ,
2428.38 -2497.55 -143.875,   42 44 411 412 415,                    stand,   21.2903 175.043 0.0,     ,
2381.13 -2570.88 -143.875,   410,                                  crouch,  8.68347 -173.212 0.0,    ,
2438.27 -2421.13 -143.875,   410 413,                              crouch,  11.7926 94.585 0.0,      ,
2432.61 -2341.8 -166.115,    37 40 412 419,                        stand,   8.16711 -90.3314 0.0,    ,
2559.38 -2639.89 -136.377,   43 45 415,                            stand,   31.6504 -88.4362 0.0,    ,
2557.94 -2570.88 -143.875,   42 410 414,                           crouch,  4.8822 -89.1284 0.0,     ,
2821.93 -2230.88 -143.875,   41,                                   crouch,  10.9302 169.682 0.0,     ,
2665.13 -2133.13 -143.875,   41,                                   crouch,  11.1005 -54.9444 0.0,    ,
2669.13 -2327.3 -143.875,    41 42 419,                            crouch,  7.99133 177.795 0.0,     ,
2584.32 -2327.99 -162.633,   37 413 418,                           stand,   24.0533 6.68338 0.0,     ,
2814.73 -2059.9 -125.5,      259,                                  crouch,  8.3374 160.877 0.0,      ,
1486.98 -2555.53 -204.882,   7 8 422 424,                          stand,   21.9769 -66.1725 0.0,    ,
1639.24 -2622.44 -179.856,   38 39 46 421 423,                     stand,   28.7115 -102.949 0.0,    ,
1598.0 -2741.46 -181.994,    46 49 50 422 424,                     stand,   27.5031 173.824 0.0,     ,
1433.12 -2681.81 -203.005,   7 49 50 421 423 430,                  stand,   23.3612 72.4695 0.0,     ,
1407.13 -2335.13 -192.432,   7 8,                                  crouch,  4.19556 -44.5898 0.0,    ,
919.125 -2471.13 -159.875,   5,                                    crouch,  7.99133 -34.2352 0.0,    ,
919.125 -2912.88 -159.875,   0,                                    crouch,  4.36584 57.6215 0.0,     ,
1080.88 -2912.88 -159.875,   228,                                  crouch,  3.84949 116.843 0.0,     ,
1192.88 -2760.88 -159.875,   2,                                    crouch,  6.09619 129.45 0.0,      ,
1231.13 -2716.47 -159.875,   4 424,                                crouch,  8.51318 -1.08395 0.0,    ,
1738.79 -1789.73 -191.325,   23 232 432 434,                       crouch,  3.33313 -99.494 0.0,     ,
1613.53 -1762.48 -193.758,   431 433 435,                          crouch,  1.94885 -97.5988 0.0,    ,
1628.29 -1722.58 -194.048,   23 231 232 432,                       stand,   33.3752 -84.4702 0.0,    ,
1736.82 -1842.02 -203.984,   431 435 441,                          stand,   25.2618 83.0109 0.0,     ,
1600.88 -1835.26 -203.4,     9 14 432 434 436 440,                 stand,   19.3896 75.2436 0.0,     ,
1408.35 -1838.7 -191.084,    9 14 435 437 439 440,                 stand,   6.09619 -156.815 0.0,    ,
1218.4 -2117.56 -183.875,    14 436 438 439,                       stand,   13.0011 22.0587 0.0,     ,
1171.23 -2168.88 -183.875,   437,                                  crouch,  1.77856 23.2672 0.0,     ,
1149.04 -2045.85 -183.875,   14 436 437,                           crouch,  5.22827 -7.64279 0.0,    ,
1411.3 -1784.94 -195.948,    435 436,                              crouch,  3.6792 -46.8365 0.0,     ,
2097.17 -1940.81 -182.176,   9 21 40 261 434,                      stand,   19.7357 62.9883 0.0,     ,
1500.88 -2296.88 -191.875,   13,                                   crouch,  3.50342 137.739 0.0,     ,
1079.13 -2207.13 -159.875,   229 444,                              crouch,  2.81128 -37.1685 0.0,    ,
1079.13 -2304.88 -159.875,   229 443,                              crouch,  2.64099 24.4757 0.0,     ,
1368.88 -2432.88 -159.875,   11,                                   crouch,  2.46521 145.161 0.0,     ,
1008.87 -2297.61 -159.875,   447,                                  crouch,  6.43677 -178.238 0.0,    ,
936.961 -2301.05 -158.664,   16 17 446,                            stand,   46.6687 -178.755 0.0,    ,
919.125 -2359.43 -31.875,    19,                                   crouch,  18.6975 47.6075 0.0,     ,
1224.55 -2253.18 -31.875,    262,                                  crouch,  6.95862 -141.989 0.0,    ,
814.782 -2174.39 -185.414,   15 82,                                prone,   4.01978 77.8144 0.0,     ,
2532.31 -567.12 -132.733,    31 33 452,                            stand,   3.50342 141.876 0.0,     ,
2140.11 -288.54 -170.675,    31 33 235 451,                        stand,   2.11914 166.913 0.0,     ,
1769.63 -121.818 -93.4538,   235,                                  crouch,  9.5459 -50.9948 0.0,     ,
1714.44 -504.46 -103.18,     30 31 32 455,                         stand,   47.8772 5.29361 0.0,     ,
1705.99 -288.965 -80.3819,   454 456,                              stand,   9.37012 88.6853 0.0,     ,
1695.52 -144.391 -83.1878,   455,                                  prone,   7.64526 -175.657 0.0,    ,
1567.73 -1043.23 -198.059,   233,                                  crouch,  1.60278 -175.311 0.0,    ,
1824.31 -1552.98 -199.875,   25,                                   crouch,  4.53613 99.9134 0.0,     ,
1732.82 -1508.92 -199.875,   25,                                   crouch,  4.36584 56.2372 0.0,     ,
1625.56 -1302.35 -197.743,   24 234 461 464,                       stand,   15.7587 80.0611 0.0,     ,
1637.66 -1227.56 -214.025,   26 28 233 460,                        stand,   52.5409 109.587 0.0,     ,
1495.74 -1460.24 -198.896,   24 466,                               crouch,  4.36584 39.4776 0.0,     ,
1690.37 -1529.36 -197.973,   24,                                   crouch,  5.05798 116.31 0.0,      ,
1521.62 -1278.5 -194.625,    24 460 466,                           crouch,  4.53613 -61.5307 0.0,    ,
1561.58 -1561.85 -195.894,   23 24 230,                            stand,   34.0619 1.83292 0.0,     ,
1503.61 -1383.28 -199.151,   24 462 464,                           crouch,  1.94885 168.792 0.0,     ,
-2020.87 -3985.13 -114.165,  251 468 469,                          crouch,  6.38855 -28.6041 0.0,    ,
-2020.87 -4142.87 -115.148,  251 467,                              crouch,  6.21826 24.4049 0.0,     ,
-1747.13 -3985.32 -134.183,  251 467,                              crouch,  1.37878 -143.076 0.0,    ,
-1500.86 -3103.43 -143.87,   96 97 122 310,                        stand,   17.9572 63.9447 0.0,     ,
-507.626 -3300.04 -125.315,  117 472,                              stand,   57.1509 57.9022 0.0,     ,
-426.649 -3132.41 -175.832,  119 471 473,                          stand,   13.8153 69.6411 0.0,     ,
-371.289 -2962.39 -195.285,  472 474,                              stand,   12.9474 101.93 0.0,      ,
-415.088 -2805.19 -202.199,  116 118 119 473,                      stand,   17.9572 76.8921 0.0,     ,
-281.277 -2538.95 -177.12,   113 115 116 476,                      stand,   21.0663 -150.162 0.0,    ,
-187.386 -2625.32 -179.157,  113 475,                              crouch,  5.18005 115.048 0.0,     ,
-91.9416 -2232.46 -199.843,  113 114 478,                          crouch,  0.170288 -148.608 0.0,   ,
-296.308 -2168.04 -191.742,  113 114 477,                          crouch,  6.73462 -54.8505 0.0,    ,
-796.68 -2195.52 -135.875,   158,                                  crouch,  5.18005 -0.632915 0.0,   ,
-464.636 -1883.92 -135.875,  159 481,                              stand,   12.9474 134.395 0.0,     ,
-547.226 -1826.17 -135.875,  480 482,                              crouch,  7.76733 142.338 0.0,     ,
-615.061 -1775.32 -173.101,  170 171 481 508,                      stand,   4.14185 -39.6509 0.0,    ,
-252.716 -1992.6 -135.875,   159 160 246,                          crouch,  3.10913 -175.892 0.0,    ,
-548.423 -2211.9 -135.875,   245,                                  crouch,  7.59705 32.5128 0.0,     ,
-449.191 -2289.14 -135.875,  245,                                  crouch,  5.69641 112.801 0.0,     ,
-540.11 -2405.93 0.125,      161 487,                              crouch,  10.7062 85.0055 0.0,     ,
-655.119 -2316.39 0.125,     161 486 488,                          crouch,  11.5686 15.4181 0.0,     ,
-603.52 -2274.95 0.125,      161 162 487 489,                      stand,   25.9003 16.2805 0.0,     ,
-514.185 -2135.36 0.125,     488,                                  crouch,  13.4692 -90.4187 0.0,    ,
-759.083 -2235.46 0.125,     162 491 492,                          crouch,  10.7062 -123.389 0.0,    ,
-671.734 -2107.2 0.125,      162 163 490 492 493,                  stand,   18.4735 77.2492 0.0,     ,
-825.561 -2183.71 0.125,     490 491,                              crouch,  8.1134 15.7752 0.0,      ,
-650.368 -1932.62 0.125,     491,                                  crouch,  7.59705 -80.3992 0.0,    ,
-585.261 -1875.03 0.125,     163,                                  crouch,  8.45947 -37.5855 0.0,    ,
-411.2 -1713.32 0.125,       164,                                  crouch,  17.7869 54.2713 0.0,     ,
-328.796 -2134.48 0.125,     166,                                  crouch,  6.90491 79.1278 0.0,     ,
-155.721 -1912.16 0.125,     167,                                  crouch,  14.1614 169.084 0.0,     ,
-476.647 -1735.51 -135.875,  168,                                  crouch,  11.2225 3.15187 0.0,     ,
-875.636 -1947.96 -178.961,  156 500 502,                          stand,   31.7725 43.9002 0.0,     ,
-802.117 -1857.31 -177.408,  156 171 499 501,                      stand,   29.0094 146.117 0.0,     ,
-924.321 -1801.54 -183.818,  153 171 500 502,                      stand,   46.4447 -162.423 0.0,    ,
-986.705 -1874.62 -183.771,  142 149 153 499 501,                  stand,   45.412 174.094 0.0,      ,
-1237.32 -1837.22 -188.98,   148 149 153 504,                      stand,   29.1797 73.0853 0.0,     ,
-1324.15 -1988.19 -179.878,  146 149 503,                          stand,   15.0238 -128.42 0.0,     ,
-1384.05 -2447.91 -183.875,  145 146 151,                          stand,   16.7487 -125.146 0.0,    ,
-257.233 -2125.81 -197.472,  244,                                  crouch,  7.81555 30.0629 0.0,     ,
-102.078 -2183.02 -205.287,  244,                                  crouch,  2.98157 84.2804 0.0,     ,
-606.513 -1827.04 -174.865,  482,                                  crouch,  5.92041 99.6503 0.0,     ,
306.375 -1802.35 -173.714,   242,                                  crouch,  7.12891 158.01 0.0,      ,
263.89 -1530.03 -175.875,    216 217 242 511,                      stand,   18.1757 4.3384 0.0,      ,
371.653 -1518.27 -167.56,    215 220 510,                          stand,   29.574 10.5457 0.0,      ,
343.52 -1779.81 -154.188,    220,                                  crouch,  5.92041 40.0714 0.0,     ,
332.07 -1669.08 -161.463,    220,                                  crouch,  11.7871 -23.8141 0.0,    ,
681.779 -1767.4 -159.875,    241,                                  crouch,  6.26099 132.104 0.0,     ,
488.916 -1447.78 -155.521,   221,                                  crouch,  4.8822 -31.3947 0.0,     ,
616.806 -1377.93 -175.875,   213 214 215,                          stand,   6.26099 15.7312 0.0,     ,
701.501 -1483.42 -167.875,   221 222 518,                          stand,   65.6586 -73.8678 0.0,    ,
696.267 -1378.93 -184.123,   517 519,                              stand,   56.6827 92.4048 0.0,     ,
691.805 -1246.99 -179.795,   518 520,                              stand,   56.507 60.8081 0.0,      ,
812.361 -1067.25 -198.232,   519 521 522,                          stand,   54.6118 85.1538 0.0,     ,
812.733 -900.072 -191.875,   204 520 549,                          stand,   30.2661 93.9594 0.0,     ,
675.467 -1048.85 -182.995,   204 213 520,                          stand,   63.9337 -156.913 0.0,    ,
959.236 -2991.13 -172.825,   48,                                   crouch,  4.01978 -42.9578 0.0,    ,
497.136 -3640.94 -171.875,   79 525,                               crouch,  2.28943 -177.463 0.0,    ,
497.373 -3542.16 -171.875,   80 524,                               crouch,  4.19006 -178.326 0.0,    ,
648.875 -3573.13 -171.875,   79,                                   crouch,  5.22827 -137.753 0.0,    ,
778.559 -3648.16 -178.098,   81 528 529,                           stand,   34.754 -66.1005 0.0,     ,
681.125 -3784.98 -175.565,   527,                                  crouch,  6.0907 56.3147 0.0,      ,
867.762 -3766.07 -145.146,   527,                                  crouch,  11.9629 110.362 0.0,     ,
912.696 -3489.89 -159.989,   81,                                   crouch,  9.71619 126.248 0.0,     ,
756.524 -3291.42 -200.053,   81 227 532,                           stand,   16.9672 129.698 0.0,     ,
504.662 -3349.56 -171.875,   531,                                  crouch,  9.88647 53.5517 0.0,     ,
912.772 -3041.74 -174.854,   227,                                  crouch,  9.88647 -142.933 0.0,    ,
188.497 -2014.65 -349.766,   107 535,                              stand,   14.0338 15.9125 0.0,     ,
388.105 -1976.82 -331.425,   111 112 534,                          stand,   18.0054 -19.3152 0.0,    ,
1378.83 -1041.0 -330.299,    211 226,                              crouch,  5.22827 -123.24 0.0,     ,
944.462 -1139.8 -337.486,    211 225,                              prone,   -0.814209 -94.7528 0.0,  ,
1411.44 287.173 -324.862,    207 208 540 543,                      stand,   14.5502 137.306 0.0,     ,
1055.32 620.96 -282.995,     208 209,                              crouch,  1.08093 -108.398 0.0,    ,
1458.09 582.517 -320.84,     538 541 542,                          stand,   17.1429 95.8655 0.0,     ,
1510.48 648.875 -316.107,    540,                                  crouch,  5.92041 -119.274 0.0,    ,
1288.83 628.161 -305.708,    208 540,                              crouch,  1.08093 -131.535 0.0,    ,
1381.55 -110.874 -297.53,    208 210 538,                          stand,   10.2325 -91.4734 0.0,    ,
2305.94 -1047.15 -183.783,   29 31 33 34 545,                      stand,   12.1332 -119.291 0.0,    ,
2200.41 -1200.12 -217.675,   27 34 544,                            stand,   20.4279 -130.859 0.0,    ,
1214.36 -856.622 -191.875,   547 549 557,                          stand,   43.1653 -175.389 0.0,    ,
1215.39 -970.401 -191.875,   28 546 548,                           stand,   42.995 175.975 0.0,      ,
1046.84 -964.808 -191.875,   547 549 556,                          stand,   43.8574 88.6066 0.0,     ,
1056.22 -845.122 -191.875,   521 546 548,                          stand,   26.9385 171.487 0.0,     ,
189.439 -4012.1 -163.875,    76 77 551 553,                        stand,   34.3597 173.729 0.0,     ,
181.844 -3886.94 -163.875,   550 552 555,                          stand,   34.3597 -174.357 0.0,    ,
25.0204 -3897.99 -163.875,   78 551 553,                           stand,   34.0137 -175.911 0.0,    ,
33.0483 -4016.4 -163.875,    550 552 554,                          stand,   32.8052 38.5309 0.0,     ,
-56.875 -4049.68 -163.875,   553,                                  crouch,  6.90491 26.9678 0.0,     ,
244.875 -3863.93 -163.875,   551,                                  crouch,  9.84375 -151.56 0.0,     ,
1024.17 -990.875 -191.875,   548,                                  crouch,  4.83398 31.1206 0.0,     ,
1249.26 -829.125 -191.875,   546,                                  crouch,  4.6637 -150.17 0.0,      ,
