622
-1133.21 -2180.29 -251.875,   1 19 20,                      stand,   0.0 0.0 0.0,             ,
1379.98 -1743.38 -255.875,    130 307,                      stand,   13.9374 -143.436 0.0,    ,
1021.13 -1319.13 -255.875,    131 307,                      crouch,  1.33057 -57.0889 0.0,    ,
611.125 -1319.13 -255.875,    132,                          crouch,  3.40149 -45.6906 0.0,    ,
151.125 -1394.9 -255.875,     314,                          crouch,  4.78577 -8.05143 0.0,    ,
444.57 -1490.2 -255.875,      132 313 314,                  stand,   8.23545 -12.5393 0.0,    ,
169.257 -1501.14 -121.875,    150 312 315,                  stand,   64.6997 178.079 0.0,     ,
364.387 -1413.97 -255.875,    311 312,                      stand,   15.3161 171.526 0.0,     ,
167.569 -1526.87 -118.568,    313 316,                      climb,   -85.0 -90.5753 0.0,      ,
167.596 -1528.24 98.125,      146 315,                      climb,   85.0 90.7157 0.0,        ,
104.875 -1260.0 -121.875,     150 324,                      crouch,  2.63552 -130.631 0.0,    ,
-70.8749 -1719.62 56.125,     146,                          crouch,  12.9956 177.392 0.0,     ,
-11.5637 -1903.25 56.125,     146 320,                      stand,   19.2139 11.1307 0.0,     ,
235.845 -1883.61 56.125,      145 146 319,                  stand,   15.4126 -2.86039 0.0,    ,
906.42 -1573.13 56.125,       323,                          crouch,  11.2708 38.4152 0.0,     ,
866.246 -1874.02 56.125,      144 145 323,                  stand,   16.6211 -175.692 0.0,    ,
869.694 -1690.63 56.125,      147 321 322,                  stand,   19.7302 159.276 0.0,     ,
-164.598 -1352.93 -121.875,   150 151 317,                  stand,   14.0338 3.52816 0.0,     ,
-391.004 -1556.49 -152.657,   29 150 326,                   stand,   5.91492 12.6743 0.0,     ,
-578.717 -1653.52 -157.93,    18 29 325,                    stand,   12.9956 16.135 0.0,      ,
-463.125 -1069.58 -57.0933,   29,                           crouch,  5.57434 -137.361 0.0,    ,
-424.875 -1033.13 6.125,      152,                          crouch,  6.78284 -48.6075 0.0,    ,
-99.125 -1242.88 6.125,       153,                          crouch,  -0.297832 109.563 0.0,   ,
-352.875 -1222.37 6.125,      331,                          crouch,  2.46523 26.8521 0.0,     ,
-253.977 -1142.35 6.125,      152 153 330 532,              stand,   13.1714 5.79134 0.0,     ,
31.5467 -1224.32 28.125,      153 154,                      crouch,  20.0763 -87.8012 0.0,    ,
-46.5076 -1038.96 0.124999,   154,                          crouch,  4.53615 92.2757 0.0,     ,
355.362 -1205.82 0.124998,    154 155 335,                  stand,   15.5884 158.386 0.0,     ,
487.351 -1161.15 0.124998,    155 334 336,                  stand,   10.9247 0.226765 0.0,    ,
731.15 -1230.75 0.124998,     335 337,                      stand,   12.4792 0.0674629 0.0,   ,
960.69 -1239.78 0.124998,     336 338 339,                  stand,   17.1429 7.8348 0.0,      ,
1159.78 -1244.05 0.124998,    230 337,                      stand,   27.4976 105.388 0.0,     ,
957.659 -914.765 0.124998,    191 230 337 340 344 345,      stand,   15.4126 -173.643 0.0,    ,
1133.64 -883.609 0.124999,    230 339,                      prone,   -1.68211 -171.572 0.0,   ,
503.128 -816.875 42.125,      343,                          crouch,  1.77309 49.072 0.0,      ,
503.125 -583.125 42.125,      343,                          crouch,  4.88222 -35.1767 0.0,    ,
503.35 -707.71 42.125,        341 342 344,                  stand,   16.275 -8.41398 0.0,     ,
780.193 -711.264 2.125,       191 339 343 345 346 347,      stand,   20.4224 3.3304 0.0,      ,
882.28 -705.484 2.125,        191 339 344 346 347,          stand,   19.2139 -78.3475 0.0,    ,
873.451 -494.171 2.125,       158 344 345 347 348 349 362,  stand,   7.81555 -98.3701 0.0,    ,
752.88 -476.24 2.125,         344 345 346 348 349,          stand,   13.1714 -125.133 0.0,    ,
657.649 -294.985 2.125,       157 346 347 350 353,          stand,   11.7871 -70.5692 0.0,    ,
835.63 -315.473 2.125,        346 347 350 353 361 362,      stand,   8.33191 83.2779 0.0,     ,
826.495 -113.651 2.125,       348 349 351 352 363,          stand,   12.3035 73.2584 0.0,     ,
823.684 73.1308 2.125,        161 350 352 353 368,          stand,   10.5786 98.6368 0.0,     ,
703.289 69.3944 2.125,        350 351 353 359 367,          stand,   13.858 -153.098 0.0,     ,
662.851 -126.228 2.125,       348 349 351 352 359 360,      stand,   9.19983 -97.3318 0.0,    ,
464.875 -392.875 2.125,       157,                          crouch,  2.28945 132.87 0.0,      ,
256.625 -392.872 2.125,       157,                          crouch,  3.84401 34.4492 0.0,     ,
256.625 -210.125 2.125,       157,                          crouch,  -0.81419 -50.8487 0.0,   ,
464.872 45.6749 2.125,        180,                          crouch,  0.910664 -130.961 0.0,   ,
247.128 -161.375 2.125,       180 621,                      crouch,  -2.36876 43.7711 0.0,    ,
503.125 -74.868 2.125,        352 353 360,                  crouch,  2.8113 32.0377 0.0,      ,
503.129 136.875 2.125,        353 359,                      crouch,  2.8113 -50.4971 0.0,     ,
1040.88 -175.125 2.125,       349,                          crouch,  3.49794 -155.988 0.0,    ,
1040.88 -337.777 2.125,       346 349,                      crouch,  -1.50633 -111.268 0.0,   ,
944.875 -112.103 2.125,       350,                          crouch,  -0.297832 -179.295 0.0,  ,
527.125 580.633 2.125,        365,                          crouch,  -1.68211 -8.70512 0.0,   ,
724.813 554.74 2.125,         364 366 367 371,              stand,   8.33191 1.82528 0.0,     ,
874.465 554.616 2.125,        365 367 368 370 371,          stand,   9.02405 -50.8377 0.0,    ,
776.191 374.268 2.125,        352 365 366 368,              stand,   9.02405 -79.6658 0.0,    ,
955.236 395.729 2.125,        161 351 366 367 369,          stand,   6.26099 -45.8279 0.0,    ,
1120.88 397.044 2.125,        368,                          crouch,  1.94338 -179.12 0.0,     ,
548.035 722.828 0.555806,     162 366 375,                  stand,   12.8253 176.239 0.0,     ,
933.35 689.335 0.125,         365 366 372 375 376,          stand,   11.441 130.492 0.0,      ,
870.951 893.652 0.125,        371 373,                      stand,   12.3035 136.194 0.0,     ,
580.483 1073.07 0.514146,     163 372 400,                  stand,   11.9629 139.297 0.0,     ,
408.313 1358.5 6.81588,       163,                          prone,   -0.473614 -52.3538 0.0,  ,
546.486 623.125 0.124998,     370 371,                      crouch,  3.49794 177.612 0.0,     ,
1046.51 623.125 36.125,       371,                          crouch,  10.5786 35.6961 0.0,     ,
526.448 1379.44 36.1254,      163,                          crouch,  14.8962 76.2796 0.0,     ,
362.148 1182.19 18.125,       379 380,                      crouch,  4.36586 152.596 0.0,     ,
315.176 1388.63 18.125,       378 380,                      crouch,  5.39856 -115.717 0.0,    ,
194.914 1260.62 18.125,       163 164 378 379 381,          stand,   9.37012 -145.765 0.0,    ,
105.128 1346.16 18.125,       380,                          crouch,  0.910664 -38.7198 0.0,   ,
22.8802 1067.18 18.125,       164 383,                      crouch,  -0.81419 122.202 0.0,    ,
-147.22 1052.3 18.125,        164 382,                      crouch,  0.0482368 72.8189 0.0,   ,
34.8938 1433.55 18.125,       165 385,                      crouch,  12.6495 15.3 0.0,        ,
40.3917 1371.86 18.125,       165 384,                      crouch,  1.25673 170.861 0.0,     ,
-398.085 1454.71 18.125,      166,                          crouch,  0.910664 -85.7138 0.0,   ,
-497.121 978.52 18.125,       168 388,                      crouch,  4.88222 63.8101 0.0,     ,
-416.934 1051.98 18.125,      167 387 390 392,              stand,   13.512 -18.7247 0.0,     ,
-258.099 999.432 18.125,      390,                          crouch,  0.910664 -80.0174 0.0,   ,
-252.041 1065.77 18.125,      388 389 397,                  stand,   21.2848 166.021 0.0,     ,
-495.037 1385.47 18.125,      166,                          stand,   21.4551 0.175223 0.0,    ,
-567.7 1043.13 -1.675,        388 393 394,                  stand,   0.394306 1.72979 0.0,    ,
-562.748 952.355 16.325,      57 177 392 395,               stand,   28.7115 -179.731 0.0,    ,
-590.602 1299.89 -133.463,    176 392,                      stand,   29.3982 101.189 0.0,     ,
-294.164 840.786 -0.939438,   162 178 393 397,              stand,   10.9247 -34.1736 0.0,    ,
75.7944 1406.08 -69.875,      170 171,                      crouch,  3.49794 55.9693 0.0,     ,
-241.204 907.905 0.125,       162 390 395 399,              stand,   25.4266 -86.1609 0.0,    ,
100.743 1120.92 0.124999,     399 400,                      crouch,  2.46523 -30.2185 0.0,    ,
140.375 935.94 0.124999,      162 397 398,                  stand,   16.275 170.93 0.0,       ,
434.38 1140.24 0.424407,      162 163 373 398,              stand,   19.9005 28.4815 0.0,     ,
800.172 2096.88 -151.74,      92,                           crouch,  3.49792 -139.313 0.0,    ,
97.125 2170.88 -135.875,      92,                           crouch,  3.67371 -41.7541 0.0,    ,
169.872 1569.93 -182.052,     173,                          crouch,  1.77309 32.8431 0.0,     ,
-34.777 1890.93 -187.638,     92 174 405,                   stand,   7.46948 41.3135 0.0,     ,
-43.2711 2082.81 -145.181,    175 404 406,                  stand,   12.4792 -174.161 0.0,    ,
-309.76 2049.47 -144.249,     182 405,                      stand,   12.6495 -164.142 0.0,    ,
-840.672 1990.63 -148.655,    78 83 181 182,                stand,   6.78284 86.2311 0.0,     ,
-518.676 2107.19 -139.875,    82 83,                        crouch,  0.564594 136.131 0.0,    ,
-892.875 2095.13 -139.875,    83,                           crouch,  1.77309 23.0488 0.0,     ,
-818.291 2329.08 -139.875,    83 411 614,                   stand,   17.1429 -89.5282 0.0,    ,
-784.904 2601.76 -139.875,    79 81 410 412 415,            stand,   16.9672 144.091 0.0,     ,
-642.602 2592.43 -139.875,    411 413 414 418,              stand,   17.1429 9.24444 0.0,     ,
-563.334 2538.76 -139.875,    82 412 414 416,               stand,   14.8962 -4.39511 0.0,    ,
-520.008 2688.88 -139.875,    412 413,                      crouch,  2.46523 -127.645 0.0,    ,
-892.875 2655.27 -139.875,    411,                          crouch,  3.15735 -61.3263 0.0,    ,
-383.735 2527.46 -135.875,    84 85 90 413 454,             stand,   16.4508 2.04839 0.0,     ,
-445.991 2982.88 -103.875,    85,                           crouch,  4.53613 -45.5938 0.0,    ,
-645.445 2831.37 -143.875,    81 412 419,                   stand,   22.1472 90.7959 0.0,     ,
-536.764 2739.13 -142.278,    418 420,                      climb,   -85.0 -89.9841 0.0,      ,
-534.043 2732.55 36.125,      419 421,                      climb,   85.0 92.334 0.0,         ,
-544.858 2589.21 28.125,      420 422 429 430,              stand,   23.5315 -104.008 0.0,    ,
-813.641 2625.15 28.125,      421 423 428 429,              stand,   19.7357 -160.434 0.0,    ,
-785.696 2283.54 28.125,      422 424 425 428,              stand,   11.1005 -99.6576 0.0,    ,
-900.875 2087.13 28.125,      423,                          crouch,  8.5132 -87.3803 0.0,     ,
-705.876 2087.13 28.125,      423 426 428,                  crouch,  5.40407 -88.7481 0.0,    ,
-483.129 2087.13 28.125,      425 427,                      crouch,  9.19985 -28.988 0.0,     ,
-483.125 2378.79 28.125,      426 428,                      crouch,  7.30471 -9.48178 0.0,    ,
-635.649 2387.23 28.125,      422 423 425 427 429,          stand,   16.6266 34.7217 0.0,     ,
-641.59 2540.69 28.125,       421 422 428,                  stand,   20.9442 47.1528 0.0,     ,
-483.125 2605.56 28.125,      421,                          crouch,  9.02956 -19.6826 0.0,    ,
-105.613 2152.67 -135.875,    90 432,                       stand,   9.89199 -177.166 0.0,    ,
-388.185 2167.21 -135.875,    84 431,                       stand,   8.85927 102.54 0.0,      ,
-122.295 2642.36 -135.875,    87 90 434,                    stand,   9.19985 2.73504 0.0,     ,
-98.8007 2934.89 -135.875,    85 86 433 619,                stand,   19.906 59.5453 0.0,      ,
-34.0914 2361.31 -135.875,    90 91 436,                    stand,   23.8776 1.19146 0.0,     ,
65.0084 2281.45 -71.875,      91 435,                       crouch,  6.2665 -92.2033 0.0,     ,
269.125 2982.88 -135.875,     89 439,                       crouch,  -0.638409 -47.4957 0.0,  ,
800.875 2982.88 -135.875,     89,                           crouch,  -1.50084 -128.13 0.0,    ,
456.225 2864.06 -135.875,     89 437 440 618,               stand,   14.5557 -177.003 0.0,    ,
463.056 2586.43 -135.875,     87 88 439 444,                stand,   9.89199 -29.5331 0.0,    ,
472.097 2170.59 -135.875,     442 444,                      stand,   14.0393 -1.53442 0.0,    ,
676.47 2168.02 -135.875,      93 441 443,                   stand,   7.47499 67.8717 0.0,     ,
800.875 2135.13 -135.875,     442,                          crouch,  1.94887 138.322 0.0,     ,
466.97 2444.32 -135.875,      88 91 440 441 445 450,        stand,   68.7732 133.317 0.0,     ,
532.354 2428.73 -103.875,     88 444 446,                   stand,   47.3608 -86.3049 0.0,    ,
537.176 2386.63 -71.875,      445 447,                      stand,   2.81679 -83.7122 0.0,    ,
537.806 2321.86 -26.875,      446 448 449,                  stand,   17.489 -87.3431 0.0,     ,
573.445 2244.98 -26.875,      447 449,                      prone,   5.058 -58.6688 0.0,      ,
542.082 2246.91 -26.875,      447 448,                      prone,   2.64101 -144.182 0.0,    ,
584.347 2533.0 -103.875,      88 444 451,                   stand,   41.6644 93.2709 0.0,     ,
581.96 2593.41 -71.875,       450 452,                      stand,   41.6644 93.2709 0.0,     ,
580.268 2639.99 -26.875,      451 453,                      stand,   40.802 92.7545 0.0,      ,
528.31 2723.32 -26.875,       452,                          stand,   39.7638 72.8967 0.0,     ,
-291.409 2330.03 -71.875,     90 416,                       crouch,  1.6028 -85.4053 0.0,     ,
1083.13 3176.87 -188.673,     96,                           crouch,  1.26223 -44.3109 0.0,    ,
1437.64 3176.88 -187.201,     96,                           crouch,  -3.40147 -129.949 0.0,   ,
1268.15 2752.36 -187.909,     95 96 97 458,                 stand,   4.36586 -74.8639 0.0,    ,
1464.02 2428.87 -155.853,     94 223 224 457 459 460,       stand,   5.92043 -58.8129 0.0,    ,
1732.3 2456.21 -122.279,      97 458 460,                   stand,   23.0152 -169.489 0.0,    ,
1877.0 2266.41 -129.246,      224 226 458 459,              stand,   16.2805 148.235 0.0,     ,
2246.79 1693.32 -131.928,     222 462 463,                  stand,   15.7642 -18.7073 0.0,    ,
2091.4 1957.54 -111.338,      226 461,                      stand,   10.2381 107.85 0.0,      ,
2532.45 1651.01 -120.47,      101 461 470,                  stand,   16.4563 -8.57238 0.0,    ,
3396.58 2136.14 -165.754,     100,                          crouch,  1.94887 173.054 0.0,     ,
2502.64 2328.94 -175.907,     98 100,                       stand,   9.89199 148.192 0.0,     ,
2113.3 2939.74 -180.214,      97 467 468 469,               stand,   7.99135 178.228 0.0,     ,
1806.24 2958.18 -179.301,     97 466 469,                   stand,   15.4181 -109.081 0.0,    ,
2367.11 2866.64 -175.328,     99 466,                       stand,   5.92043 -33.6377 0.0,    ,
1739.33 3192.48 -183.439,     466 467,                      crouch,  2.47072 -58.335 0.0,     ,
2484.55 1517.5 -121.795,      221 222 463,                  stand,   23.5315 125.016 0.0,     ,
3358.57 1566.88 -157.563,     102,                          crouch,  5.57436 -133.827 0.0,    ,
2813.28 1284.92 -149.012,     101 102,                      crouch,  4.36586 44.8761 0.0,     ,
2925.4 486.537 -171.495,      103 105 116 219 220,          stand,   13.5175 -87.3663 0.0,    ,
1820.38 1223.72 -106.434,     209 221 222 223 475 476,      stand,   17.8351 137.98 0.0,      ,
1633.51 1408.1 -58.9387,      474,                          prone,   0.916157 163.666 0.0,    ,
1991.27 1009.38 -102.298,     210 221 474,                  prone,   0.05373 -73.4192 0.0,    ,
4009.61 359.676 -125.217,     104 106 107 108,              stand,   12.655 80.8014 0.0,      ,
3813.66 1191.23 -159.875,     108 480,                      crouch,  1.94887 -87.8827 0.0,    ,
3605.33 960.873 -156.815,     108 480,                      crouch,  1.43251 -34.8737 0.0,    ,
3775.38 983.874 -159.875,     108 478 479,                  stand,   15.5939 37.1362 0.0,     ,
4317.36 39.6668 -150.223,     107,                          crouch,  2.8113 142.144 0.0,      ,
1231.13 -240.872 -229.875,    483 484,                      crouch,  2.29492 14.3379 0.0,     ,
1231.13 -85.125 -197.875,     482 484,                      crouch,  5.57434 -21.0546 0.0,    ,
1465.26 -179.83 -197.875,     195 482 483,                  stand,   11.4465 -3.61926 0.0,    ,
3470.31 -1148.88 -143.875,    111 113,                      crouch,  1.77856 54.7401 0.0,     ,
4324.88 -487.125 -163.658,    112,                          crouch,  3.6792 -136.911 0.0,     ,
4011.13 -409.125 -161.187,    112,                          crouch,  3.84949 -44.8784 0.0,    ,
3972.88 -430.125 -149.875,    111 489,                      crouch,  2.64099 -147.617 0.0,    ,
3807.14 -446.012 -149.875,    110 111 488,                  stand,   14.9017 -11.046 0.0,     ,
3639.21 -421.11 -149.875,     110,                          crouch,  1.60278 38.1672 0.0,     ,
3642.13 -175.742 -149.875,    110,                          crouch,  2.81128 -36.7705 0.0,    ,
4114.88 -370.875 -149.875,    109,                          crouch,  6.09619 100.152 0.0,     ,
4016.28 -153.125 -149.875,    109,                          crouch,  0.916138 -62.3247 0.0,   ,
2840.51 -1328.88 -159.807,    118 495,                      stand,   21.9769 -174.896 0.0,    ,
2650.98 -1342.71 -174.53,     216 494 496,                  stand,   25.2618 -175.237 0.0,    ,
2682.71 -1574.67 -175.002,    119 495,                      stand,   20.4279 -78.7163 0.0,    ,
3128.88 -2040.88 -173.207,    119 120,                      crouch,  4.01978 133.655 0.0,     ,
2232.88 -2476.57 -176.941,    122,                          crouch,  0.740357 133.655 0.0,    ,
1739.91 141.366 -156.875,     194,                          crouch,  2.12463 168.701 0.0,     ,
1370.13 263.541 -157.875,     194 501,                      stand,   13.8635 96.0103 0.0,     ,
1339.18 480.375 -157.875,     500 502,                      crouch,  8.16711 -73.377 0.0,     ,
1516.88 480.375 -157.875,     501,                          crouch,  4.36584 -116.888 0.0,    ,
1676.88 300.875 -157.875,     194,                          crouch,  4.36584 -140.026 0.0,    ,
1516.88 508.875 -37.875,      193,                          crouch,  3.6792 -120.514 0.0,     ,
1331.13 508.875 -37.875,      193,                          crouch,  3.50342 -54.2058 0.0,    ,
1175.13 404.875 50.125,       192,                          crouch,  4.19556 -55.5901 0.0,    ,
983.125 -136.875 50.125,      160,                          crouch,  1.77856 43.8582 0.0,     ,
1416.88 -175.125 50.125,      509,                          crouch,  6.44226 -130.358 0.0,    ,
1281.58 -210.687 50.125,      159 508 510 512,              stand,   18.0109 91.6816 0.0,     ,
1286.03 -345.834 50.125,      509 511 513,                  stand,   26.2946 -150.913 0.0,    ,
1136.93 -342.944 50.125,      158 510 512 514,              stand,   34.2377 170.585 0.0,     ,
1123.8 -225.667 50.125,       509 511 515,                  stand,   29.2334 15.1838 0.0,     ,
1399.88 -407.875 50.125,      510,                          crouch,  4.54163 141.917 0.0,     ,
1079.13 -424.875 50.125,      511,                          crouch,  7.12891 51.0927 0.0,     ,
1079.13 -200.125 50.125,      512,                          crouch,  4.54163 -44.9114 0.0,    ,
934.61 -657.745 250.125,      205,                          crouch,  25.0861 101.328 0.0,     ,
1162.88 -840.875 162.125,     206,                          crouch,  14.5557 118.587 0.0,     ,
649.366 -638.534 250.125,     204,                          crouch,  25.2618 64.3696 0.0,     ,
612.583 -306.73 250.125,      203 204 520 521,              stand,   20.2521 83.3595 0.0,     ,
509.125 -177.307 250.125,     519,                          crouch,  4.54163 -43.3898 0.0,    ,
636.824 -224.395 250.125,     519,                          crouch,  28.1952 -49.7783 0.0,    ,
503.125 -136.872 250.125,     203 523,                      crouch,  3.6792 45.8741 0.0,      ,
503.125 264.875 250.125,      522 524,                      crouch,  6.44226 -41.4891 0.0,    ,
613.443 247.84 250.125,       202 203 523,                  stand,   31.8207 -112.285 0.0,    ,
504.54 385.433 250.125,       202 526 527,                  prone,   18.8733 -179.966 0.0,    ,
504.592 442.423 250.125,      202 525,                      prone,   19.2194 -178.763 0.0,    ,
503.125 303.125 250.125,      202 525,                      crouch,  3.84949 45.182 0.0,      ,
510.354 562.875 250.125,      202,                          crouch,  4.36584 -41.6704 0.0,    ,
1136.88 564.375 250.125,      200,                          crouch,  6.61255 -133.522 0.0,    ,
1416.88 351.125 250.125,      199,                          crouch,  14.3799 136.517 0.0,     ,
-185.375 -904.343 0.124997,   188 189 532,                  stand,   13.3472 -88.983 0.0,     ,
-185.89 -1051.34 6.125,       153 331 531,                  stand,   20.4279 89.3745 0.0,     ,
-566.283 -849.525 -12.0674,   186 189 190,                  stand,   17.6648 67.7864 0.0,     ,
-832.342 -471.125 -3.19078,   39,                           crouch,  6.78284 -125.782 0.0,    ,
-850.958 -257.925 148.625,    43 44 538,                    stand,   33.551 -107.66 0.0,      ,
-948.188 18.1777 148.125,     44 537,                       stand,   40.2802 -168.617 0.0,    ,
-1057.27 14.9042 148.125,     536 538 541 542,              stand,   43.9111 -167.063 0.0,    ,
-1045.48 -247.321 148.125,    535 537 540 541,              stand,   44.0759 -8.21155 0.0,    ,
-791.125 -424.875 148.125,    43,                           crouch,  3.84399 137.341 0.0,     ,
-1080.88 -296.871 152.125,    538,                          crouch,  7.12341 41.1665 0.0,     ,
-1112.87 -143.682 152.125,    537 538,                      crouch,  16.7969 -179.851 0.0,    ,
-1080.88 56.8749 152.125,     537,                          crouch,  4.53613 -42.5823 0.0,    ,
-848.216 192.898 148.125,     44 46 550 551,                stand,   18.6975 -104.913 0.0,    ,
-692.676 -2.03058 148.125,    44 545,                       stand,   15.0665 9.72913 0.0,     ,
-483.0 9.0914 148.125,        544 546,                      stand,   18.8678 -83.8579 0.0,    ,
-477.228 -159.65 148.125,     45 545 547,                   stand,   26.4648 -101.815 0.0,    ,
-423.147 -214.407 148.125,    546,                          crouch,  15.4126 -0.977051 0.0,   ,
-598.514 -424.875 148.125,    45,                           crouch,  21.9769 -90.4113 0.0,    ,
-728.375 -382.875 148.125,    45,                           crouch,  8.67798 48.2307 0.0,     ,
-1112.88 104.632 148.125,     543 551,                      crouch,  3.32764 38.0354 0.0,     ,
-1112.87 220.139 148.125,     543 550,                      crouch,  18.0054 -177.275 0.0,    ,
-879.01 424.875 148.125,      46,                           crouch,  19.9005 90.6874 0.0,     ,
-1681.06 239.704 4.37766,     554 556 564,                  stand,   26.1188 -1.1748 0.0,     ,
-1521.35 248.205 4.01747,     48 553 555 565,               stand,   25.4266 -84.4017 0.0,    ,
-1523.57 123.051 4.00964,     554 556 557,                  stand,   26.4648 -177.807 0.0,    ,
-1652.36 120.303 5.09429,     553 555 561,                  stand,   26.8109 112.265 0.0,     ,
-1562.83 -146.058 4.125,      41 555 558 571,               stand,   28.3655 -109.61 0.0,     ,
-1767.47 -155.5 3.72351,      557 559 560 561,              stand,   20.0763 -91.3121 0.0,    ,
-1767.32 -368.424 4.29674,    41 49 558,                    stand,   26.9812 6.59253 0.0,     ,
-1944.38 -136.793 6.22623,    49 558 569,                   stand,   24.74 12.4537 0.0,       ,
-1821.13 102.921 4.13957,     556 558 562 564,              stand,   19.9005 91.7146 0.0,     ,
-1952.85 115.398 12.2901,     561 563 568,                  stand,   21.2848 3.98877 0.0,     ,
-1946.05 359.401 8.3398,      562 564 567,                  stand,   16.6211 -4.64099 0.0,    ,
-1772.44 317.346 4.64848,     48 553 561 563,               stand,   23.7018 -20.0054 0.0,    ,
-1341.29 242.745 4.125,       47 554 566,                   stand,   16.6211 9.51489 0.0,     ,
-1151.53 229.749 4.37401,     565,                          crouch,  3.84949 -173.336 0.0,    ,
-1984.87 424.875 10.8176,     563,                          crouch,  1.94885 -38.4899 0.0,    ,
-1984.88 79.125 8.85364,      562,                          crouch,  8.3374 47.1541 0.0,      ,
-1984.88 -95.125 5.06321,     560,                          crouch,  2.64099 -37.968 0.0,     ,
-1984.88 -424.875 6.5357,     49,                           crouch,  7.12891 40.4249 0.0,     ,
-1423.84 -142.822 4.125,      50 51 557 572,                stand,   22.8448 -96.3274 0.0,    ,
-1285.06 -232.022 3.0864,     50 571 573,                   stand,   30.6122 -3.78955 0.0,    ,
-1165.13 -236.367 4.98155,    572,                          crouch,  3.50342 177.501 0.0,     ,
-1287.13 -424.875 1.70796,    50,                           crouch,  2.81128 134.16 0.0,      ,
-1330.87 -463.125 -8.5391,    37,                           crouch,  5.05798 -47.658 0.0,     ,
-1484.13 -463.125 -7.18009,   40,                           crouch,  6.09619 -150.743 0.0,    ,
-1750.8 -856.613 -25.5578,    578 579,                      stand,   22.8448 13.1129 0.0,     ,
-1748.8 -982.875 -23.875,     577,                          crouch,  5.57434 82.3488 0.0,     ,
-1643.72 -808.516 -23.875,    36 577,                       stand,   34.5837 -103.436 0.0,    ,
-1766.88 -1319.13 -63.894,    33,                           crouch,  9.19983 -40.6047 0.0,    ,
-1766.88 -1630.81 -106.972,   33,                           crouch,  3.50342 42.6167 0.0,     ,
-1766.88 -1260.88 -50.5381,   34,                           crouch,  4.01978 37.2609 0.0,     ,
-1766.87 -744.375 -29.6376,   40,                           crouch,  0.0482178 59.1731 0.0,   ,
-1835.88 463.125 -23.875,     61,                           crouch,  5.05798 50.7026 0.0,     ,
-1023.13 463.125 -23.875,     59,                           crouch,  4.19556 135.292 0.0,     ,
-1437.13 640.875 -23.875,     60,                           crouch,  1.77856 -138.548 0.0,    ,
-1175.13 811.817 48.125,      70 588 589,                   crouch,  9.89197 3.38452 0.0,     ,
-1175.61 723.881 48.125,      70 587 589,                   crouch,  8.85925 -0.757324 0.0,   ,
-1274.24 757.547 48.125,      70 587 588 590,               stand,   19.906 97.1309 0.0,      ,
-1361.92 695.125 48.125,      589,                          crouch,  18.0109 125.459 0.0,     ,
-1175.13 1468.11 48.125,      71 592,                       crouch,  11.4465 3.04395 0.0,     ,
-1176.25 1545.23 48.125,      71 591,                       crouch,  11.4465 3.04395 0.0,     ,
-1179.08 1860.96 48.125,      72,                           prone,   14.0393 -2.1416 0.0,     ,
-1183.13 822.87 -103.875,     65,                           crouch,  2.81128 -151.655 0.0,    ,
-1376.95 796.779 -103.875,    65 597,                       stand,   15.2478 157.407 0.0,     ,
-1519.09 724.216 -103.875,    597,                          crouch,  4.54163 48.2966 0.0,     ,
-1518.82 785.398 -103.875,    595 596 598,                  stand,   9.02954 4.95007 0.0,     ,
-1480.48 1142.18 -103.875,    597 599,                      stand,   16.1102 -20.9392 0.0,    ,
-1253.32 1128.89 -103.875,    65 66 598 600,                stand,   25.2618 -79.4744 0.0,    ,
-1183.13 1124.88 -103.875,    599,                          crouch,  1.94885 -148.864 0.0,    ,
-1450.15 1337.35 -103.875,    66 67 602,                    stand,   15.072 -175.116 0.0,     ,
-1520.88 1267.13 -103.875,    601,                          crouch,  5.75012 55.2125 0.0,     ,
-1190.02 1707.26 -103.875,    67 181,                       stand,   25.0861 2.37927 0.0,     ,
-1549.37 1681.92 -103.875,    67 68 73,                     stand,   15.7642 159.138 0.0,     ,
-1128.88 1266.51 -136.567,    181,                          crouch,  8.85925 45.8906 0.0,     ,
-2217.88 1445.13 -139.2,      74,                           crouch,  1.77856 43.1276 0.0,     ,
-2217.88 1927.07 -143.875,    75,                           crouch,  2.98706 31.3887 0.0,     ,
-1743.13 2326.88 -143.875,    75,                           crouch,  2.29492 -120.898 0.0,    ,
-1455.69 1836.61 -142.887,    77,                           crouch,  4.36584 32.4159 0.0,     ,
-1084.82 2129.9 -148.86,      78 611 614,                   stand,   21.1145 4.26892 0.0,     ,
-931.126 2107.13 -141.97,     610,                          crouch,  5.05798 141.373 0.0,     ,
-1267.87 2559.13 -138.672,    79,                           crouch,  7.30469 27.4061 0.0,     ,
-1267.88 2982.88 -139.852,    80,                           crouch,  4.54163 -29.569 0.0,     ,
-1066.54 2325.17 -149.875,    79 410 610,                   stand,   61.1762 -155.615 0.0,    ,
-511.059 1595.65 -189.067,    175,                          crouch,  5.05798 -175.973 0.0,    ,
26.5482 -2193.05 -255.875,    16 255 617,                   stand,   23.6536 -55.6445 0.0,    ,
217.12 -2196.62 -255.875,     15 135 257 616,               stand,   8.97583 38.7994 0.0,     ,
241.095 2829.56 -135.875,     439 619,                      stand,   13.645 6.51858 0.0,      ,
62.4212 2860.25 -135.875,     86 87 434 618,                stand,   20.2039 -12.3065 0.0,    ,
98.875 2982.88 -135.875,      86,                           crouch,  3.97156 -130.745 0.0,    ,
