521
-3187.32 2925.31 9.37074,    85 204 207 208,                    stand,   0.0 0.0 0.0,             ,
-4199.13 -1432.88 8.125,     27,                                crouch,  4.36584 127.487 0.0,     ,
-4784.88 -999.125 -127.875,  29 306,                            crouch,  1.94885 -39.6478 0.0,    ,
-4787.4 -1068.0 -127.875,    29 305 307,                        stand,   31.8207 46.1664 0.0,     ,
-4783.36 -1279.58 -127.875,  306 308 311,                       stand,   9.02954 -21.5149 0.0,    ,
-4614.81 -1369.27 -127.875,  30 307 310 312 330,                stand,   18.3514 -139.964 0.0,    ,
-4207.13 -1464.88 -127.875,  30,                                crouch,  2.46521 132.838 0.0,     ,
-4752.34 -1464.87 -127.875,  308,                               crouch,  2.29492 43.2166 0.0,     ,
-4792.88 -1331.95 -127.875,  307,                               crouch,  -0.643921 33.5431 0.0,   ,
-4498.75 -1044.15 -127.875,  29 308 313 329 330,                stand,   22.1472 179.277 0.0,     ,
-4496.04 -917.945 -134.233,  34 312 314 326 509 512,            stand,   23.0151 178.239 0.0,     ,
-4634.96 -917.845 -134.244,  29 313 509 512,                    stand,   22.1472 -138.942 0.0,    ,
-4564.77 -575.027 -191.896,  35 62 325 327 328 510 511,         stand,   11.6168 88.8043 0.0,     ,
-4167.78 -456.875 -191.875,  36,                                crouch,  1.60278 133.87 0.0,      ,
-4144.39 82.9028 -191.875,   43 318,                            stand,   29.92 -91.7999 0.0,      ,
-4080.01 89.7225 -191.875,   317,                               crouch,  -2.53906 -144.111 0.0,   ,
-4691.33 -169.45 -191.875,   35 40 41 42,                       stand,   12.8253 -94.8981 0.0,    ,
-5048.88 103.326 -191.875,   41,                                crouch,  1.25671 -46.2122 0.0,    ,
-4427.7 -149.957 -191.875,   42 322,                            stand,   10.9247 -74.87 0.0,      ,
-4477.27 -273.32 -191.875,   35 36 321,                         stand,   24.2236 -145.32 0.0,     ,
-4953.77 -354.656 -191.875,  40 41 324,                         stand,   42.1808 -134.279 0.0,    ,
-4990.68 -414.439 -191.875,  323,                               crouch,  2.29492 34.7571 0.0,     ,
-4238.88 -495.125 -151.875,  34 315 511,                        crouch,  2.98157 -126.165 0.0,    ,
-4202.91 -960.875 -138.867,  34 313 512,                        crouch,  6.43677 133.519 0.0,     ,
-4787.7 -495.125 -150.294,   315 328,                           crouch,  9.02954 -45.542 0.0,     ,
-4764.92 -619.03 -153.017,   62 315 327 509 510,                stand,   16.2805 -92.5086 0.0,    ,
-4364.95 -1055.04 -127.875,  312 330 331,                       stand,   23.7018 -54.8584 0.0,    ,
-4376.99 -1287.75 -127.875,  29 30 308 312 329,                 stand,   20.2521 -83.3459 0.0,    ,
-4207.13 -999.125 -127.875,  329,                               crouch,  3.84949 -143.617 0.0,    ,
-4199.13 -1245.38 -127.875,  30,                                crouch,  5.22827 -140.327 0.0,    ,
-4160.88 -1504.88 -103.191,  31,                                crouch,  3.84949 44.4305 0.0,     ,
-4012.6 -1139.1 -92.1957,    31 32 335 349,                     stand,   8.50769 -131.34 0.0,     ,
-4160.88 -1101.9 -86.0596,   334,                               crouch,  4.36584 -31.7212 0.0,    ,
-3207.13 -1544.88 -91.875,   122,                               crouch,  2.29492 137.672 0.0,     ,
-3504.21 -1122.22 -94.2779,  113 114 338,                       stand,   7.64526 34.3671 0.0,     ,
-3470.76 -1015.8 -43.2725,   337 339 340,                       stand,   46.3226 81.3336 0.0,     ,
-3466.0 -917.919 41.5677,    338 340 342 343,                   stand,   36.3086 -108.246 0.0,    ,
-3595.29 -987.266 17.8742,   338 339 341 342,                   stand,   37.0007 -34.5172 0.0,    ,
-3731.93 -954.491 -18.9365,  32 340 342,                        stand,   49.6021 175.607 0.0,     ,
-3586.61 -856.814 -5.89674,  339 340 341,                       stand,   21.9769 -72.3431 0.0,    ,
-3355.76 -868.732 10.1081,   339 344,                           stand,   51.1566 29.1815 0.0,     ,
-3242.77 -846.482 -33.2323,  121 343 345,                       stand,   47.0148 54.3842 0.0,     ,
-3250.29 -992.843 -87.2976,  113 344,                           stand,   0.910645 94.9567 0.0,    ,
-4125.15 -1013.72 45.3776,   347,                               prone,   5.74463 27.973 0.0,      ,
-4035.75 -979.851 15.5485,   346 348,                           stand,   59.6161 37.1246 0.0,     ,
-3981.64 -894.407 -35.5925,  347 349,                           stand,   34.408 -62.8455 0.0,     ,
-3981.18 -1069.71 -76.7067,  32 334 348,                        stand,   56.3367 -104.28 0.0,     ,
-2972.96 -1452.56 -91.875,   123 351,                           stand,   46.1523 30.0604 0.0,     ,
-2879.13 -1464.88 -91.4473,  350,                               crouch,  5.92041 151.443 0.0,     ,
-2763.56 -1246.62 -90.5553,  353 354 357,                       stand,   11.9629 -99.6057 0.0,    ,
-2818.88 -1392.87 -83.9865,  352 354,                           crouch,  -1.50085 70.2924 0.0,    ,
-2727.13 -1392.88 -77.3095,  352 353,                           crouch,  7.30469 107.415 0.0,     ,
-2616.36 -1031.49 -81.3076,  111 112 356 357,                   stand,   10.238 -2.2229 0.0,      ,
-2511.13 -1088.88 -55.0857,  355,                               crouch,  8.16711 144.192 0.0,     ,
-2721.06 -1108.66 -86.9742,  112 124 352 355,                   stand,   17.1429 -128.961 0.0,    ,
-2220.49 -832.872 -25.1348,  110,                               crouch,  3.50342 112.93 0.0,      ,
-2321.65 -263.656 -47.8912,  109 360 361,                       stand,   11.4465 -98.2379 0.0,    ,
-2288.4 -483.598 -46.9376,   110 359 362,                       stand,   10.4083 -84.9445 0.0,    ,
-2580.8 -257.291 -53.7532,   359,                               crouch,  0.394287 -0.52002 0.0,   ,
-2143.13 -560.875 -27.4812,  360,                               crouch,  2.98706 149.18 0.0,      ,
-1999.13 -144.875 -46.7604,  109,                               crouch,  2.64099 134.161 0.0,     ,
-1796.02 363.312 -2.4631,    106 108 125 126,                   stand,   4.54163 98.9392 0.0,     ,
-1423.13 506.246 64.125,     126,                               crouch,  8.16711 178.881 0.0,     ,
-1615.13 688.875 31.0398,    126,                               crouch,  7.12891 -133.466 0.0,    ,
-1583.13 399.125 29.4743,    126,                               crouch,  4.01978 139.166 0.0,     ,
-2536.06 356.931 53.1552,    107 369 485,                       crouch,  13.8635 -128.802 0.0,    ,
-2717.49 343.241 20.5919,    127 368,                           crouch,  14.2096 -167.314 0.0,    ,
-3290.49 1374.33 0.125001,   70 71 376,                         stand,   28.0194 149.696 0.0,     ,
-3007.46 1373.48 -127.875,   372 376,                           stand,   41.3184 -5.87036 0.0,    ,
-3011.6 1288.08 -127.875,    371 373,                           stand,   58.4076 -171.456 0.0,    ,
-3196.17 1294.36 -255.875,   372 374 375,                       stand,   54.2658 -161.613 0.0,    ,
-3193.93 1207.46 -255.875,   69 373,                            stand,   37.171 -2.07458 0.0,     ,
-3215.04 1356.88 -188.146,   373,                               crouch,  14.2096 -80.4675 0.0,    ,
-3096.6 1377.61 -57.0119,    370 371 377,                       stand,   33.1995 -174.922 0.0,    ,
-3089.88 1441.57 -20.1093,   129 376,                           stand,   -0.12207 -7.95776 0.0,   ,
-2751.69 -41.6566 -227.542,  65 108,                            stand,   18.3514 -162.969 0.0,    ,
-3351.63 -457.047 -170.337,  380,                               crouch,  12.655 -14.4946 0.0,     ,
-3230.2 -520.888 -185.968,   63 64 379,                         stand,   21.4606 -21.7401 0.0,    ,
-3659.11 -511.309 -169.504,  33 63 120,                         stand,   3.50342 138.655 0.0,     ,
-3792.34 4.63995 -43.2408,   383 385 387 498,                   stand,   46.1523 84.2175 0.0,     ,
-3697.36 13.9255 -23.8532,   382 384,                           stand,   39.9341 102.339 0.0,     ,
-3666.15 146.854 13.1011,    383 385,                           prone,   4.8822 86.283 0.0,       ,
-3772.08 121.429 -3.3447,    382 384 386,                       crouch,  13.1714 94.2261 0.0,     ,
-3878.63 138.207 17.2908,    385 387,                           prone,   4.8822 90.0677 0.0,      ,
-3895.06 21.622 -23.8711,    382 386,                           stand,   46.6687 -22.8552 0.0,    ,
-3405.56 -814.744 -164.774,  63,                                crouch,  9.02954 66.1469 0.0,     ,
-5510.63 -543.362 -196.623,  56 57 59 393,                      stand,   13.4692 -50.3827 0.0,    ,
-5124.71 -190.819 -192.308,  56 391 392 393,                    stand,   6.38855 86.3806 0.0,     ,
-5124.86 6.57426 -183.31,    56 390 392 395,                    stand,   15.5402 104.162 0.0,     ,
-5330.82 50.5256 -189.592,   55 56 390 391,                     stand,   15.3699 128.678 0.0,     ,
-5242.34 -284.983 -199.962,  56 59 389 390 394 408,             stand,   32.1185 170.97 0.0,      ,
-5088.66 -288.208 -105.875,  393,                               crouch,  15.7104 140.752 0.0,     ,
-5131.5 122.512 -104.481,    391 396,                           stand,   53.8715 -131.187 0.0,    ,
-5127.86 210.227 -84.875,    395 398 399,                       stand,   13.1232 88.2593 0.0,     ,
-5304.47 199.134 -84.875,    398,                               crouch,  9.66797 87.2266 0.0,     ,
-5195.0 224.176 -84.875,     396 397,                           crouch,  12.7771 87.5726 0.0,     ,
-5023.54 216.116 -78.875,    396 400,                           stand,   20.0281 2.62086 0.0,     ,
-4833.09 207.981 -78.875,    399 401,                           prone,   9.84375 15.0519 0.0,     ,
-4777.94 211.275 -135.875,   400 402,                           stand,   59.3976 2.44508 0.0,     ,
-4699.09 217.146 -173.452,   133 401 403 404,                   stand,   36.7767 41.6388 0.0,     ,
-4453.89 351.205 -153.196,   132 133 402 404 405 406,           stand,   21.2366 -158.307 0.0,    ,
-4453.13 175.125 -161.661,   133 402 403,                       crouch,  6.21826 129.529 0.0,     ,
-4427.13 528.875 -166.881,   133 403 406,                       crouch,  4.48792 -132.923 0.0,    ,
-4800.88 528.875 -168.234,   133 403 405,                       crouch,  3.97156 -31.0522 0.0,    ,
-5134.43 -705.08 -176.033,   59 62 408 409 417,                 stand,   5.69641 15.0409 0.0,     ,
-5240.02 -535.359 -184.951,  56 59 393 407,                     stand,   39.1937 98.949 0.0,      ,
-5125.19 -797.784 -173.728,  59 60 62 407 410 413 414 418,      stand,   26.2463 176.655 0.0,     ,
-5159.8 -1259.75 -192.859,   60 61 409 411 414,                 stand,   16.0565 -89.5929 0.0,    ,
-5175.49 -1683.3 -196.446,   60 61 410 415,                     stand,   25.7245 -170.749 0.0,    ,
-5454.19 -1659.07 -164.936,  60 61 413 416,                     stand,   20.3741 93.0768 0.0,     ,
-5448.82 -1259.49 -169.266,  60 61 409 412 414,                 stand,   16.2323 82.8925 0.0,     ,
-5403.53 -825.202 -192.112,  59 60 409 410 413,                 stand,   18.6493 46.1157 0.0,     ,
-5071.13 -2008.87 -92.9949,  61 411 416,                        crouch,  7.94312 111.737 0.0,     ,
-5456.87 -2012.87 -82.7882,  61 412 415,                        crouch,  11.3983 59.7608 0.0,     ,
-4959.13 -607.667 -146.688,  407,                               crouch,  9.15161 -139.328 0.0,    ,
-4985.13 -959.355 -161.258,  409,                               crouch,  7.42676 133.138 0.0,     ,
-4132.71 588.633 -194.047,   132 420 424,                       stand,   56.2885 133.474 0.0,     ,
-4157.74 684.304 -213.875,   419 421,                           stand,   72.2229 145.042 0.0,     ,
-4258.42 751.924 -185.875,   420 422,                           stand,   82.583 154.534 0.0,      ,
-4415.94 856.338 -193.985,   421 423,                           stand,   34.2377 151.431 0.0,     ,
-4491.06 863.254 -191.875,   48 251 422,                        stand,   71.701 -169.03 0.0,      ,
-4222.96 621.004 -151.087,   419 425,                           stand,   85.0 114.995 0.0,        ,
-4238.9 506.038 -79.1452,    132 424 426,                       stand,   79.6497 -145.206 0.0,    ,
-4368.88 528.875 -63.3122,   425,                               crouch,  13.5175 -44.3677 0.0,    ,
-3505.52 783.677 -279.875,   134 135,                           stand,   23.0151 -80.6225 0.0,    ,
-3317.25 579.231 -279.875,   134 135 429 431,                   stand,   28.5413 -119.992 0.0,    ,
-3304.32 504.425 -279.875,   428,                               crouch,  5.05798 132.952 0.0,     ,
-3546.07 504.425 -279.875,   134,                               crouch,  5.05798 49.3787 0.0,     ,
-3423.34 694.175 -277.785,   134 428 432,                       climb,   -85.0 92.0276 0.0,       ,
-3425.36 700.625 -111.875,   431 433,                           climb,   85.0 -90.307 0.0,        ,
-3421.52 756.415 -111.875,   432 434 435 438,                   stand,   54.1638 -60.6055 0.0,    ,
-3508.39 694.437 -111.875,   433 436 437 438,                   stand,   36.8988 -21.582 0.0,     ,
-3354.64 721.133 -111.875,   71 433 436 439,                    stand,   37.2449 169.036 0.0,     ,
-3412.62 613.52 -111.875,    434 435 437 439,                   stand,   33.2733 164.197 0.0,     ,
-3501.37 601.658 -111.875,   434 436,                           crouch,  6.68089 44.5447 0.0,     ,
-3493.99 752.184 -111.875,   433 434,                           crouch,  7.20274 -35.7434 0.0,    ,
-3338.79 614.588 -111.875,   435 436,                           crouch,  8.58152 123.97 0.0,      ,
-3382.69 830.79 -108.659,    71 72 441,                         climb,   -85.0 -103.414 0.0,      ,
-3385.29 824.704 8.125,      440 442 448,                       climb,   85.0 74.0869 0.0,        ,
-3293.21 761.062 -3.87502,   441 443,                           stand,   37.5171 145.212 0.0,     ,
-3256.42 641.571 -3.87501,   442 444,                           stand,   46.3226 -121.036 0.0,    ,
-3328.35 532.875 -3.87501,   443 445,                           stand,   39.7583 -138.987 0.0,    ,
-3455.48 507.268 -3.87502,   444 446,                           stand,   36.4789 168.871 0.0,     ,
-3562.55 576.849 -3.87502,   445 447,                           stand,   33.8916 116.906 0.0,     ,
-3589.43 712.526 -3.87502,   446 448,                           stand,   24.0479 81.5137 0.0,     ,
-3504.63 823.736 -3.87502,   441 447,                           stand,   25.9485 13.6566 0.0,     ,
-3740.88 1960.88 8.125,      81,                                crouch,  6.26101 -40.7519 0.0,    ,
-3740.88 1500.69 8.125,      83,                                crouch,  4.53615 30.0439 0.0,     ,
-3330.41 1853.66 0.125,      81 452 453,                        stand,   34.9243 24.5233 0.0,     ,
-3290.98 1960.88 0.125,      451,                               crouch,  4.71193 -136.053 0.0,    ,
-3146.15 1853.17 0.125,      80 451 454 456 458,                stand,   27.5031 164.725 0.0,     ,
-3187.21 1960.88 0.125,      453,                               crouch,  6.09072 -56.2866 0.0,    ,
-2787.13 1960.88 8.125,      80,                                crouch,  5.39858 -144.001 0.0,    ,
-2909.38 1716.92 0.125001,   80 453 457 458,                    stand,   10.5786 -80.8081 0.0,    ,
-2793.7 1495.13 0.125,       456,                               crouch,  2.11916 140.544 0.0,     ,
-3076.9 1675.7 0.125,        76 80 453 456,                     stand,   32.1613 -134.685 0.0,    ,
-2787.13 1495.13 134.125,    77,                                crouch,  14.8963 137.254 0.0,     ,
-2780.98 1739.12 134.125,    77 78,                             crouch,  18.3515 -22.2784 0.0,    ,
-2787.13 1960.88 134.125,    78,                                crouch,  9.89199 -130.719 0.0,    ,
-3349.11 1950.53 134.125,    79 463,                            crouch,  23.7018 179.041 0.0,     ,
-3340.43 1885.35 134.125,    79 462,                            crouch,  25.4321 -144.183 0.0,    ,
-3177.23 1999.13 22.091,     504 505,                           crouch,  8.16164 122.752 0.0,     ,
-2955.71 2767.13 69.6667,    208,                               crouch,  12.6496 140.698 0.0,     ,
-2597.13 2241.24 25.036,     86 467 468 471,                    stand,   11.7871 90.4633 0.0,     ,
-2439.13 2352.88 54.6639,    466,                               crouch,  15.2423 -138.668 0.0,    ,
-2789.02 2315.47 43.153,     86 466 469 470,                    stand,   80.5121 -151.791 0.0,    ,
-2847.9 2342.88 42.5498,     468,                               crouch,  10.4083 -31.9464 0.0,    ,
-2838.46 2197.64 30.7264,    468 471,                           stand,   33.7158 -178.196 0.0,    ,
-2846.13 2097.62 21.4159,    86 466 470 472 473,                stand,   41.6589 177.14 0.0,      ,
-2995.29 2159.1 18.8329,     471 473 503 504,                   stand,   15.9345 0.666518 0.0,    ,
-3032.88 1999.13 21.0202,    471 472,                           crouch,  7.99135 35.7239 0.0,     ,
-2544.95 1748.61 14.0347,    86 92 475,                         stand,   29.0576 -119.332 0.0,    ,
-2736.88 1664.85 19.8394,    474,                               crouch,  8.16164 45.7379 0.0,     ,
-2664.88 1327.13 20.4871,    92,                                crouch,  8.16164 47.4628 0.0,     ,
-2664.88 1280.88 28.125,     101 102,                           crouch,  11.2708 -41.1145 0.0,    ,
-2336.47 1275.47 20.125,     101 104,                           crouch,  8.85378 -134.877 0.0,    ,
-2629.44 848.346 20.125,     102 103 480,                       stand,   45.9766 177.299 0.0,     ,
-2661.05 717.467 20.125,     479,                               crouch,  5.74465 69.3805 0.0,     ,
-2190.1 797.045 12.2344,     103 105 146 153 482,               stand,   19.3897 168.483 0.0,     ,
-2201.81 638.002 11.6019,    105 106 107 481 483 484,           stand,   37.0007 -128.324 0.0,    ,
-2475.26 656.875 20.125,     482,                               crouch,  10.9302 -34.7479 0.0,    ,
-2240.93 387.001 -35.5065,   106 108 482 485,                   stand,   28.7115 -67.5531 0.0,    ,
-2356.39 376.635 44.125,     107 368 484,                       stand,   48.3991 -168.045 0.0,    ,
-2152.65 76.9258 -51.5558,   108 109 487,                       stand,   63.8373 -129.324 0.0,    ,
-2188.49 48.7122 -57.8326,   486 488,                           climb,   -85.0 -143.298 0.0,      ,
-2187.0 43.9369 21.7506,     487 489,                           climb,   84.6539 36.4325 0.0,     ,
-2338.06 -47.4618 14.2347,   488 490,                           stand,   39.7583 -170.418 0.0,    ,
-2526.38 -135.125 -30.6857,  489 491,                           stand,   28.3655 -166.787 0.0,    ,
-2635.81 -195.109 -78.0058,  490 492,                           stand,   80.1605 -143.65 0.0,     ,
-2711.82 -226.846 -25.875,   491 493,                           stand,   64.2798 -166.084 0.0,    ,
-2847.5 -226.741 -62.8641,   492 494,                           stand,   71.0089 -151.923 0.0,    ,
-2889.4 -307.702 -78.7074,   116 493,                           stand,   47.1851 108.453 0.0,     ,
-3081.91 -258.496 -31.875,   117 496,                           crouch,  10.5786 58.8995 0.0,     ,
-2998.82 -306.516 -31.875,   495 497,                           crouch,  10.0623 63.739 0.0,      ,
-2929.15 -346.755 -31.875,   116 496,                           crouch,  8.50769 59.0753 0.0,     ,
-3762.1 -35.125 -45.0197,    382 499,                           stand,   73.5052 -89.7565 0.0,    ,
-3765.96 -92.3018 -137.302,  120 498 500,                       stand,   74.1974 -92.6953 0.0,    ,
-4024.88 -158.733 -110.837,  120 499 501,                       climb,   -85.0 -179.696 0.0,      ,
-4028.83 -158.597 356.125,   286 500,                           climb,   85.0 1.60036 0.0,        ,
-3269.54 2254.17 27.4402,    85 503 505 506 507,                stand,   35.5682 -3.47533 0.0,    ,
-3149.62 2258.33 32.0801,    85 472 502 504,                    stand,   35.9143 -70.4645 0.0,    ,
-3141.42 2106.54 16.3253,    464 472 503 505,                   stand,   33.327 177.821 0.0,      ,
-3290.03 2107.74 16.0252,    84 464 502 504 506 507,            stand,   14.3317 100.12 0.0,      ,
-3426.54 2102.21 9.09856,    502 505 507,                       stand,   20.3741 108.398 0.0,     ,
-3432.46 2256.74 29.0308,    502 505 506 508,                   stand,   21.7584 91.6498 0.0,     ,
-3552.88 2336.88 37.6947,    507,                               crouch,  10.3601 -33.7042 0.0,    ,
-4615.31 -832.437 -143.202,  62 313 314 328 510 512,            stand,   38.6774 94.2316 0.0,     ,
-4609.85 -662.628 -164.04,   62 315 328 509 511,                stand,   27.4548 15.6684 0.0,     ,
-4476.79 -656.475 -165.441,  34 315 325 510 512,                stand,   22.099 -77.5671 0.0,     ,
-4469.02 -824.53 -147.295,   34 313 314 326 509 511,            stand,   20.5444 -55.2978 0.0,    ,
-4821.07 -228.362 -191.875,  38 40,                             stand,   23.6481 86.402 0.0,      ,
-4307.56 -208.279 -185.008,  36 37,                             stand,   31.1298 -93.7518 0.0,    ,
-4615.96 589.279 -57.875,    20 21 23 272,                      stand,   48.0707 -176.66 0.0,     ,
-3831.82 579.01 -304.646,    130 131 134 136,                   stand,   9.2395 -178.753 0.0,     ,
-2003.02 2084.61 16.1292,    89 90 183 184,                     stand,   17.901 -89.1541 0.0,     ,
-2360.63 2028.55 24.125,     86 91,                             stand,   31.2109 159.67 0.0,      ,
-2306.97 1720.77 158.125,    98 167 168 520,                    stand,   25.4114 86.2592 0.0,     ,
-2112.18 1700.46 158.125,    98 519,                            crouch,  17.4902 -89.9615 0.0,    ,
